COMPONENT	COMPONENTDESC	COMPTYPE	RELEASE	BFUNCTION	BFUNCDESC	CURRSTAT	STAT1511	BFCONFLICT	MSGTYPE	ADDONSTAT	ADDONCONFLICT	SUCCPRODUCT	SUCCSW
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	/BEV1/ARC	BEV Archiving (PL,Emps,Rets,ED)	OFF	OFF	Pass - No Impact	S		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	/BEV1/NE_ENH	Functional Improvements BEV	OFF	OFF	Pass - No Impact	S		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	/CUM/MAIN_1	Compatible Units Archiving	OFF		Not part of BF list	I		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	/DSD/ARC	Archiving for Direct Store Deliv	OFF	OFF	Pass - No Impact	S		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	/DSD/DEX	DEX Enablement for DSD	OFF	OFF	Pass - No Impact	S		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	/DSD/OCS	Occasionally-Connected Scenarios	OFF	OFF	Pass - No Impact	S		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	/SAPNEA/J_SCC_BF	Business funciton for SCC JP	OFF		Not part of BF list	I		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	EA_ICM_ICM_CORE_01	Incentive&Commission Management	OFF		Not part of BF list	I		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	EA_ICM_ICM_CORE_02	Incentive&Commission Management	OFF		Not part of BF list	I		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	EA_ICM_ICM_CORE_03	Incentive&Commission Management	OFF		Not part of BF list	I		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	EA_ICM_ICM_CORE_04	Incentive and Commission Mgmt	OFF		Not part of BF list	I		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	EA_ICM_ICM_CORE_04_02	Incentive and Commission Mgmt	OFF		Not part of BF list	I		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	EA_ICM_PFO_CORE_04	Portfolio Assignment 2	OFF		Not part of BF list	I		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	ERP_AIE_INTEGRATION	AIE ERP Integration	OFF		Not part of BF list	I		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	FIN_ACC_LOCAL_CLOSE	Local Close	OFF	OFF	Pass - No Impact	S		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	FIN_ACC_LOCAL_CLOSE_2	Local Close 2	OFF	OFF	Pass - No Impact	S		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	FIN_ACC_LOCAL_CLOSE_3	Local Close 3	OFF	OFF	Pass - No Impact	S		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	FIN_BL_EB_1	FI-BL, Elec. Bank Statement	OFF	ON	Warning	W		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	FIN_CO_CCMGMT	CO, Cost Center Management	OFF	ON	Warning	W		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	FIN_CO_MSSBUA_NWBC	Roles for MSS/BUA	OFF	OFF	Pass - No Impact	S		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	FIN_LOC_CI_1	Non-HCM Localization Topics	OFF	ON	Warning	W		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	FIN_LOC_CI_12	RE-FX, Loc. for France	OFF		Not part of BF list	I		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	FIN_LOC_CI_18	FI-AA Localization for Japan	OFF	ON	Warning	W		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	FIN_LOC_CI_2	FI Topics for Japan and Portugal	OFF		Not part of BF list	I		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	FIN_LOC_CI_21	RE-FX, Par. Adjustment for NL	OFF		Not part of BF list	I		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	FIN_LOC_CI_22	RE-FX, Loc. of CMD for Italy	OFF		Not part of BF list	I		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	FIN_LOC_CI_26	Golden Tax Interface for China	OFF	ON	Warning	W		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	FIN_LOC_CI_3	RE-FX Portugal	OFF		Not part of BF list	I		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	FIN_LOC_CI_38	RE-FX, Loc. for ES	OFF		Not part of BF list	I		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	FIN_LOC_CI_6	RE-FX, Loc. for CZ, HU, NL, SK	OFF		Not part of BF list	I		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	FIN_LOC_CI_8	FI-AA Topics for IN, JP, RU	OFF	ON	Warning	W		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	FIN_LOC_CI_9	FI, Localization for CN	OFF	ON	Warning	W		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	JVA_CUTB_REVERSE	JVA cutback reversal	OFF	ON	Warning	W		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	JVA_GL_INTEGRATION	JVA - New G/L Integration	OFF	ON	Warning	W		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	JVA_INFS_VALIDREP	JVA, cutb, validation, reporting	OFF	ON	Warning	W		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	JVA_REP_SIMPL	JVA, ODP for JVA	OFF	ON	Warning	W		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	J_7L_REA_AUTO_CONFIG	REA, Automatic Configuration	OFF		Not part of BF list	I		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	J_7L_REA_CORE	REA, Recycling Administration	OFF		Not part of BF list	I		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	J_7L_REA_SUSTAIN	REA, Environmental Reporting	OFF		Not part of BF list	I		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	LOG_EAM_CC	Config. Control Innovations	OFF		Not part of BF list	I		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	LOG_EAM_CI_2	Enterprise Asset Management	OFF		Not part of BF list	I		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	LOG_EAM_CI_3	EAM: Continuous Improvements	OFF		Not part of BF list	I		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	LOG_EAM_CI_4	Enterprise Asset Mgmt Part 4	OFF		Not part of BF list	I		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	LOG_EAM_CI_5	Enterprise Asset Mgmt Part 5	OFF		Not part of BF list	I		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	LOG_EAM_CI_6	Enterprise Asset Mgmt Part 6	OFF		Not part of BF list	I		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	LOG_EAM_CI_7	Enterprise Asset Mgmt Part 7	OFF		Not part of BF list	I		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	LOG_EAM_LINEAR_1	EAM, Linear Asset Management 1	OFF		Not part of BF list	I		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	LOG_EAM_LINEAR_2	EAM, Linear Asset Management 2	OFF		Not part of BF list	I		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	LOG_EAM_PAM	EAM: Pool Asset Management	OFF		Not part of BF list	I		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	LOG_EAM_SIMPLICITY	Simplified EAM Functions	OFF		Not part of BF list	I		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	LOG_EAM_SIMPLICITY_2	Simplified EAM Functions 2	OFF		Not part of BF list	I		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	LOG_EAM_SIMPLICITY_3	Simplified EAM Functions 3	OFF		Not part of BF list	I		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	LOG_EAM_SIMPLICITY_4	Simplified EAM Functions 4	OFF		Not part of BF list	I		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	LOG_EAM_TOHO	Takeover/Handover of Tech. Objs	OFF		Not part of BF list	I		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	LOG_EAM_TOHO_2	Takeover/Handover Improvements	OFF		Not part of BF list	I		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	LOG_EAM_TZS_1	EAM: Time Zone Support	OFF		Not part of BF list	I		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	LOG_EAM_TZS_2	EAM: Time Zone Support (Part 2)	OFF		Not part of BF list	I		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	LOG_EAM_VE_INT	EAM, Int. SAP 3D Visual Enterp.	OFF		Not part of BF list	I		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	LOG_EAM_WCM_1	Stepwise Tagging/Work Permits	OFF		Not part of BF list	I		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	LOG_EAM_WCM_2	Definition of WCM Templates	OFF		Not part of BF list	I		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	LOG_EAM_WCM_3	Managing WCM Objects/Templates	OFF		Not part of BF list	I		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	LOG_EHS_CI_2	EH&S Continuous Improvement	OFF	ON	Warning	W		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	LOG_EHS_CI_4	EHS - Continuous Improv. for PS	OFF	ON	Warning	W		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	LOG_EHS_DG_CI_3	EHS - Continuous Improvements DG	OFF	ON	Warning	W		S		
