SOFTWARECOMPONENT	SWCOMPDESC	APPLICATIONCOMPONENT	APCOMPDESC	CHECKID	CATEGORY	MESSAGE	MSGTYPE	RETURNCODE	MSGIDENTIFIER	SEVERITY	COMPLEXITY	PROCAREA	PROCAREAL2	EFFORT	EFFORTFUNC	EFFORTTECH	NOTE	MIGRPOSSIBLE	MIGRIMPACT
SAP_APPL	Logistics and Accounting	SD-MD-CM	Conditions	SAP_WEGXX_STUFE_CHECKS	Data	Validation for WEGXX and STUFE fields was successful. These fields wil not impact the migration of pricing table KONV.	I	0	SDMD001	1	simple	MM/SD	Pricing	4	2	2		Yes	No-Impact
SAP_APPL	Logistics and Accounting	SD-MD-CM	Conditions	SAP_KONV_EXTENSION_CHECKS	Data	The pricing table KONV has not been enhanced and no customer-specific fields were found. The migration of KONV can occur.	I	0	SDMD003	1	Simple	MM/SD	Pricing	8	4	4		Yes	No-Impact
SAP_APPL	Logistics and Accounting	MM-IM	Inventory Management	BUKRS_IN_MSEG	Data	"MANDT: 100, BUKRS AU01 of table MSEG does not exist in table T001 - See note: 2197392"	E	8	MMIM002	3	Medium	MM	Master data	0	0	0	2197392	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-MM	Material Master	MARA-KZEFF	Data	Check on MARA-KZEFF passed. No action needed.	I	0	MMMD002	1	Medium	MM	Transactional Data	0	0	0		Yes	No-Impact
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CHK_BP_ROLE	Data	Some of the customer or vendor account groups are not maintained  kindly refer note 2210486	W	4	BPMD001	2	Simple	MM/SD	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CHK_BP_ROLE	Data	0001 Customer Account group is not maintained in table CVIC_CUST_TO_BP2 in client 100 kindly refer note 2210486	W	4	BPMD001	3	Simple	MM/SD	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CHK_BP_ROLE	Data	0002 Customer Account group is not maintained in table CVIC_CUST_TO_BP2 in client 100 kindly refer note 2210486	W	4	BPMD001	3	Simple	MM/SD	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CHK_BP_ROLE	Data	0005 Customer Account group is not maintained in table CVIC_CUST_TO_BP2 in client 100 kindly refer note 2210486	W	4	BPMD001	3	Simple	MM	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CHK_BP_ROLE	Data	DEBI Customer Account group is not maintained in table CVIC_CUST_TO_BP2 in client 100 kindly refer note 2210486	W	4	BPMD001	3	Simple	MM	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CHK_BP_ROLE	Data	KUNA Customer Account group is not maintained in table CVIC_CUST_TO_BP2 in client 100 kindly refer note 2210486	W	4	BPMD001	3	Simple	MM	Master data	4	2	2	2210486	Yes	Conflict with work around
