PROGTYPE	OBJTYPE	OBJDESC	SUBOBJ	SUBOBJDESC	OBJNAME	OBJTEXT	APPLN	FRICETYPE	PACKAGE	SYSNAME	MAINPROG	INCL	LINNO	ERRORMSG	MSGTYP	COMPLEXITY	REMEDIATE	PERFFLG	SCFILE	UNICODEERR	DEFTYPE	REFOBJTYP	CATEGORY
Program Type	Object Type	Object Description	Sub Object	Sub Obbject Description	Object Name	Object Text	Application	FRICE Type	Package	System Name	Main Program	Include Program	Line No	Error Message	Message Type	Complexity	Auto Remidiable	Performance Related	Score Code File	Unicode Error	Definition type	Reference Obj Type	Category	Check Defect
R3TR	BDC	Programs	INCL	Includes	ZFI_AR_PROCESS_NEG_PAYADV_F01	Include ZFI_AR_PROCESS_NEG_PAYADV_F01			ZFI	EHP6 FOR SAP ERP 6.0	ZFI_AR_PROCESS_NEG_PAYADV	ZFI_AR_PROCESS_NEG_PAYADV_F01	   42	BSEG-BELNR-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
R3TR	BDC	Programs	INCL	Includes	ZFI_AR_PROCESS_NEG_PAYADV_F01	Include ZFI_AR_PROCESS_NEG_PAYADV_F01			ZFI	EHP6 FOR SAP ERP 6.0	ZFI_AR_PROCESS_NEG_PAYADV	ZFI_AR_PROCESS_NEG_PAYADV_F01	   42	BSEG-BUKRS-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
R3TR	BDC	Programs	INCL	Includes	ZFI_AR_PROCESS_NEG_PAYADV_F01	Include ZFI_AR_PROCESS_NEG_PAYADV_F01			ZFI	EHP6 FOR SAP ERP 6.0	ZFI_AR_PROCESS_NEG_PAYADV	ZFI_AR_PROCESS_NEG_PAYADV_F01	   42	BSEG-GJAHR-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
R3TR	BDC	Programs	INCL	Includes	ZFI_AR_PROCESS_NEG_PAYADV_F01	Include ZFI_AR_PROCESS_NEG_PAYADV_F01			ZFI	EHP6 FOR SAP ERP 6.0	ZFI_AR_PROCESS_NEG_PAYADV	ZFI_AR_PROCESS_NEG_PAYADV_F01	   85	BSEG-HKONT-has been altered by SAP-SPECIFIC TO S4H	E	4	X				O		1
R3TR	BDC	Programs	INCL	Includes	ZFI_AR_PROCESS_NEG_PAYADV_F01	Include ZFI_AR_PROCESS_NEG_PAYADV_F01			ZFI	EHP6 FOR SAP ERP 6.0	ZFI_AR_PROCESS_NEG_PAYADV	ZFI_AR_PROCESS_NEG_PAYADV_F01	  443	BSEG-HKONT-has been altered by SAP-SPECIFIC TO S4H	E	4	X				O		1
R3TR	BDC	Programs	INCL	Includes	ZRFFORI01_US	International Payment Medium Include: Check			ZFI	EHP6 FOR SAP ERP 6.0			  781	Syntax or Keyword SELECT is Obsolete	E	2					O		2
R3TR	BDC	Programs	INCL	Includes	ZRFFORI01_USA	International Payment Medium Include: Check			ZFI_NA_SMARTFORMS	EHP6 FOR SAP ERP 6.0			  805	Syntax or Keyword SELECT is Obsolete	E	2					O		2
R3TR	BDC	Programs	INCL	Includes	ZRFFORI01_CA	International Payment Medium Include: Check			ZFI_NA_SMARTFORMS	EHP6 FOR SAP ERP 6.0			  805	Syntax or Keyword SELECT is Obsolete	E	2					O		2
R3TR	BDC	Programs	INCL	Includes	Z_RFFORI01_MX	Include Z_RFFORI01_MX			ZFI	EHP6 FOR SAP ERP 6.0	Z_RFFOUS_C_MX	Z_RFFORI01_MX	  831	Syntax or Keyword SELECT is Obsolete	E	2					O		2
R3TR	BDC	Programs	INCL	Includes	ZFI_RFFORI01_PVH	International Payment Medium Include: Check			ZFI_NA_SMARTFORMS	EHP6 FOR SAP ERP 6.0	ZFI_RFFOUS_C_PVH	ZFI_RFFORI01_PVH	  898	Syntax or Keyword SELECT is Obsolete	E	2					O		2
R3TR	BDC	Programs	INCL	Includes	ZRFFORI01_US	International Payment Medium Include: Check			ZFI	EHP6 FOR SAP ERP 6.0			 2360	Syntax or Keyword SELECT is Obsolete	E	2					O		2
R3TR	BDC	Programs	INCL	Includes	ZRFFORI01_US	International Payment Medium Include: Check			ZFI	EHP6 FOR SAP ERP 6.0			 2370	Syntax or Keyword SELECT is Obsolete	E	2					O		2
R3TR	BDC	Programs	INCL	Includes	ZRFFORI01_CA	International Payment Medium Include: Check			ZFI_NA_SMARTFORMS	EHP6 FOR SAP ERP 6.0			 2396	Syntax or Keyword SELECT is Obsolete	E	2					O		2
R3TR	BDC	Programs	INCL	Includes	ZRFFORI01_CA	International Payment Medium Include: Check			ZFI_NA_SMARTFORMS	EHP6 FOR SAP ERP 6.0			 2406	Syntax or Keyword SELECT is Obsolete	E	2					O		2
R3TR	BDC	Programs	INCL	Includes	ZRFFORI01_USA	International Payment Medium Include: Check			ZFI_NA_SMARTFORMS	EHP6 FOR SAP ERP 6.0			 2430	Syntax or Keyword SELECT is Obsolete	E	2					O		2
R3TR	BDC	Programs	INCL	Includes	ZRFFORI01_USA	International Payment Medium Include: Check			ZFI_NA_SMARTFORMS	EHP6 FOR SAP ERP 6.0			 2440	Syntax or Keyword SELECT is Obsolete	E	2					O		2
R3TR	BDC	Programs	INCL	Includes	ZRFFORI01_US	International Payment Medium Include: Check			ZFI	EHP6 FOR SAP ERP 6.0			 2457	Syntax or Keyword UPDATE is Obsolete	E	2					O		2
R3TR	BDC	Programs	INCL	Includes	ZRFFORI99	Include ZRFFORI99			ZFI	EHP6 FOR SAP ERP 6.0	Z_RFFOUS_C_MX	ZRFFORI99	 2484	T012D-HBKID-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
R3TR	BDC	Programs	INCL	Includes	ZRFFORI01_CA	International Payment Medium Include: Check			ZFI_NA_SMARTFORMS	EHP6 FOR SAP ERP 6.0			 2493	Syntax or Keyword UPDATE is Obsolete	E	2					O		2
R3TR	BDC	Programs	INCL	Includes	ZRFFORI01_USA	International Payment Medium Include: Check			ZFI_NA_SMARTFORMS	EHP6 FOR SAP ERP 6.0			 2527	Syntax or Keyword UPDATE is Obsolete	E	2					O		2
R3TR	BDC	Programs	INCL	Includes	Z_RFFORI01_MX	Include Z_RFFORI01_MX			ZFI	EHP6 FOR SAP ERP 6.0	Z_RFFOUS_C_MX	Z_RFFORI01_MX	 2546	Syntax or Keyword SELECT is Obsolete	E	2					O		2
R3TR	BDC	Programs	INCL	Includes	Z_RFFORI01_MX	Include Z_RFFORI01_MX			ZFI	EHP6 FOR SAP ERP 6.0	Z_RFFOUS_C_MX	Z_RFFORI01_MX	 2556	Syntax or Keyword SELECT is Obsolete	E	2					O		2
R3TR	BDC	Programs	INCL	Includes	ZFI_RFFORI01_PVH	International Payment Medium Include: Check			ZFI_NA_SMARTFORMS	EHP6 FOR SAP ERP 6.0	ZFI_RFFOUS_C_PVH	ZFI_RFFORI01_PVH	 2597	Syntax or Keyword SELECT is Obsolete	E	2					O		2
R3TR	BDC	Programs	INCL	Includes	ZFI_RFFORI01_PVH	International Payment Medium Include: Check			ZFI_NA_SMARTFORMS	EHP6 FOR SAP ERP 6.0	ZFI_RFFOUS_C_PVH	ZFI_RFFORI01_PVH	 2608	Syntax or Keyword SELECT is Obsolete	E	2					O		2
R3TR	BDC	Programs	INCL	Includes	ZFI_RFFORI01_PVH	International Payment Medium Include: Check			ZFI_NA_SMARTFORMS	EHP6 FOR SAP ERP 6.0	ZFI_RFFOUS_C_PVH	ZFI_RFFORI01_PVH	 2620	Syntax or Keyword SELECT is Obsolete	E	2					O		2
R3TR	BDC	Programs	INCL	Includes	Z_RFFORI01_MX	Include Z_RFFORI01_MX			ZFI	EHP6 FOR SAP ERP 6.0	Z_RFFOUS_C_MX	Z_RFFORI01_MX	 2643	Syntax or Keyword UPDATE is Obsolete	E	2					O		2
R3TR	BDC	Programs	INCL	Includes	ZFI_RFFORI01_PVH	International Payment Medium Include: Check			ZFI_NA_SMARTFORMS	EHP6 FOR SAP ERP 6.0	ZFI_RFFOUS_C_PVH	ZFI_RFFORI01_PVH	 2711	Syntax or Keyword UPDATE is Obsolete	E	2					O		2
R3TR	BDC	Programs	INCL	Includes	Z_RFFORI01_MX	Include Z_RFFORI01_MX			ZFI	EHP6 FOR SAP ERP 6.0	Z_RFFOUS_C_MX	Z_RFFORI01_MX	 2848	BSEG-REBZG-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
R3TR	BDC	Programs	INCL	Includes	Z_RFFORI01_MX	Include Z_RFFORI01_MX			ZFI	EHP6 FOR SAP ERP 6.0	Z_RFFOUS_C_MX	Z_RFFORI01_MX	 2851	BSEG-BUKRS-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
R3TR	BDC	Programs	INCL	Includes	Z_RFFORI01_MX	Include Z_RFFORI01_MX			ZFI	EHP6 FOR SAP ERP 6.0	Z_RFFOUS_C_MX	Z_RFFORI01_MX	 2852	BSEG-KOART-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
R3TR	BDC	Programs	INCL	Includes	Z_RFFORI01_MX	Include Z_RFFORI01_MX			ZFI	EHP6 FOR SAP ERP 6.0	Z_RFFOUS_C_MX	Z_RFFORI01_MX	 2855	BSEG-HKONT-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
R3TR	BDC	Programs	INCL	Includes	Z_RFFORI01_MX	Include Z_RFFORI01_MX			ZFI	EHP6 FOR SAP ERP 6.0	Z_RFFOUS_C_MX	Z_RFFORI01_MX	 2855	BSEG-SHKZG-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
R3TR	BDC	Programs	INCL	Includes	Z_RFFORI01_MX	Include Z_RFFORI01_MX			ZFI	EHP6 FOR SAP ERP 6.0	Z_RFFOUS_C_MX	Z_RFFORI01_MX	 2855	BSEG-WRBTR-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
R3TR	BDC	Programs	INCL	Includes	Z_RFFORI01_MX	Include Z_RFFORI01_MX			ZFI	EHP6 FOR SAP ERP 6.0	Z_RFFOUS_C_MX	Z_RFFORI01_MX	 2857	BSEG-BELNR-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
R3TR	BDC	Programs	INCL	Includes	ZRFFORI01_CA	International Payment Medium Include: Check			ZFI_NA_SMARTFORMS	EHP6 FOR SAP ERP 6.0			 2910	LFA1-LIFNR-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
R3TR	BDC	Programs	INCL	Includes	ZRFFORI01_CA	International Payment Medium Include: Check			ZFI_NA_SMARTFORMS	EHP6 FOR SAP ERP 6.0			 2911	LFA1-NAME1-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
R3TR	BDC	Programs	INCL	Includes	ZRFFORI01_CA	International Payment Medium Include: Check			ZFI_NA_SMARTFORMS	EHP6 FOR SAP ERP 6.0			 2929	LFA1-NAME1-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
R3TR	BDC	Programs	INCL	Includes	ZRFFORI01_CA	International Payment Medium Include: Check			ZFI_NA_SMARTFORMS	EHP6 FOR SAP ERP 6.0			 2931	LFA1-LIFNR-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
R3TR	BDC	Programs	INCL	Includes	ZRFFORI99	Include ZRFFORI99			ZFI	EHP6 FOR SAP ERP 6.0	Z_RFFOUS_C_MX	ZRFFORI99	 3597	Syntax or Keyword MODIFY is Obsolete	E	2					O		2
R3TR	BDC	Programs	INCL	Includes	ZRFFORI99	Include ZRFFORI99			ZFI	EHP6 FOR SAP ERP 6.0	Z_RFFOUS_C_MX	ZRFFORI99	 4057	Function module HELPSCREEN_NA_CREATE is flagged as Obsolete	E	1					O		1
R3TR	BDC	Programs	INCL	Includes	ZRFFORI99	Include ZRFFORI99			ZFI	EHP6 FOR SAP ERP 6.0	Z_RFFOUS_C_MX	ZRFFORI99	 4691	Syntax or Keyword MODIFY is Obsolete	E	2					O		2
R3TR	BDC	Programs	PROG	Program	ZFIR_FB09	Brazil EBS: Perform treatment of the return file FB09			ZFI	EHP6 FOR SAP ERP 6.0	ZFIR_FB09	ZFIR_FB09	   12	BSEG-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
R3TR	BDC	Programs	PROG	Program	ZFI_FSCM_MASS_REB	AR - FSCM -Mass Re-bill update			ZFI	EHP6 FOR SAP ERP 6.0	ZFI_FSCM_MASS_REB	ZFI_FSCM_MASS_REB	   28	BSEG-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
R3TR	BDC	Programs	PROG	Program	ZFI_FSCM_MASS_REB	AR - FSCM -Mass Re-bill update			ZFI	EHP6 FOR SAP ERP 6.0	ZFI_FSCM_MASS_REB	ZFI_FSCM_MASS_REB	   28	UDMCASEATTR00-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
R3TR	BDC	Programs	PROG	Program	ZFII_UPDATE_XREF3	FI Transaction Upload Program with Tax code			ZFI	EHP6 FOR SAP ERP 6.0	ZFII_UPDATE_XREF3	ZFII_UPDATE_XREF3	   30	BSEG-BUZEI-has been altered by SAP-SPECIFIC TO S4H	E	4	X				O		1
R3TR	BDC	Programs	PROG	Program	ZFII_UPDATE_XREF3	FI Transaction Upload Program with Tax code			ZFI	EHP6 FOR SAP ERP 6.0	ZFII_UPDATE_XREF3	ZFII_UPDATE_XREF3	   33	BSEG-BSCHL-has been altered by SAP-SPECIFIC TO S4H	E	4	X				O		1
R3TR	BDC	Programs	PROG	Program	ZFIR_FB09	Brazil EBS: Perform treatment of the return file FB09			ZFI	EHP6 FOR SAP ERP 6.0	ZFIR_FB09	ZFIR_FB09	   35	BSEG-HBKID-has been altered by SAP-SPECIFIC TO S4H	E	4	X				O		1
R3TR	BDC	Programs	PROG	Program	ZFIAR_CASHAPP_F32	NA AR Cash app F-32 Clear Payment posting			ZFI	EHP6 FOR SAP ERP 6.0	ZFIAR_CASHAPP_F32	ZFIAR_CASHAPP_F32	   35	BSEG-SGTXT-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
R3TR	BDC	Programs	PROG	Program	ZFII_UPDATE_XREF3	FI Transaction Upload Program with Tax code			ZFI	EHP6 FOR SAP ERP 6.0	ZFII_UPDATE_XREF3	ZFII_UPDATE_XREF3	   38	BSEG-KOSTL-has been altered by SAP-SPECIFIC TO S4H	E	4	X				O		1
R3TR	BDC	Programs	PROG	Program	ZFII_LOAD_FI_ACCRUALS	FI and Accruals Park and Posting Mass Upload			ZFI	EHP6 FOR SAP ERP 6.0	ZFII_LOAD_FI_ACCRUALS	ZFII_LOAD_FI_ACCRUALS	   39	BSEG-BUZEI-has been altered by SAP-SPECIFIC TO S4H	E	4	X				O		1
R3TR	BDC	Programs	PROG	Program	ZFII_UPDATE_XREF3	FI Transaction Upload Program with Tax code			ZFI	EHP6 FOR SAP ERP 6.0	ZFII_UPDATE_XREF3	ZFII_UPDATE_XREF3	   39	BSEG-PRCTR-has been altered by SAP-SPECIFIC TO S4H	E	4	X				O		1
R3TR	BDC	Programs	PROG	Program	ZFII_UPDATE_XREF3	FI Transaction Upload Program with Tax code			ZFI	EHP6 FOR SAP ERP 6.0	ZFII_UPDATE_XREF3	ZFII_UPDATE_XREF3	   40	BSEG-ZTERM-has been altered by SAP-SPECIFIC TO S4H	E	4	X				O		1
R3TR	BDC	Programs	PROG	Program	ZFII_UPDATE_XREF3	FI Transaction Upload Program with Tax code			ZFI	EHP6 FOR SAP ERP 6.0	ZFII_UPDATE_XREF3	ZFII_UPDATE_XREF3	   41	BSEG-ZFBDT-has been altered by SAP-SPECIFIC TO S4H	E	4	X				O		1
R3TR	BDC	Programs	PROG	Program	ZFII_UPDATE_XREF3	FI Transaction Upload Program with Tax code			ZFI	EHP6 FOR SAP ERP 6.0	ZFII_UPDATE_XREF3	ZFII_UPDATE_XREF3	   42	BSEG-SGTXT-has been altered by SAP-SPECIFIC TO S4H	E	4	X				O		1
