PROGTYPE	OBJTYPE	OBJDESC	SUBOBJ	SUBOBJDESC	OBJNAME	OBJTEXT	APPLN	FRICETYPE	PACKAGE	SYSNAME	MAINPROG	INCL	LINNO	ERRORMSG	MSGTYP	COMPLEXITY	REMEDIATE	PERFFLG	SCFILE	UNICODEERR	DEFTYPE	REFOBJTYP	CATEGORY
Program Type	Object Type	Object Description	Sub Object	Sub Obbject Description	Object Name	Object Text	Application	FRICE Type	Package	System Name	Main Program	Include Program	Line No	Error Message	Message Type	Complexity	Auto Remidiable	Performance Related	Score Code File	Unicode Error	Definition type	Reference Obj Type	Category	Check Defect
R3TR	ENH	Programs	INCL	Includes	ZFI_INCL_GRN_01	Include ZFI_INCL_GRN_01			ZFINA_GARNISHMNT	EHP6 FOR SAP ERP 6.0	F050S003		   19	BSEG-XREF1-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
R3TR	ENH	Programs	INCL	Includes	ZFI_INCL_WLN_UNIQUE_ID	Include ZFI_INCL_WLN_UNIQUE_STORE			ZFI	EHP6 FOR SAP ERP 6.0	F050S003		   21	LFA1-LIFNR-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
R3TR	ENH	Programs	INCL	Includes	ZFI_AP_CROSS_COMPANY_CODE	Include ZFI_AP_CROSS_COMPANY_CODE			ZFI	EHP6 FOR SAP ERP 6.0	F050S003		   21	Syntax or Keyword MODIFY is Obsolete	E	2					O		2
R3TR	ENH	Programs	INCL	Includes	ZFI_INCL_WLN_UNIQUE_ID	Include ZFI_INCL_WLN_UNIQUE_STORE			ZFI	EHP6 FOR SAP ERP 6.0	F050S003		   22	BSEG-ZUONR-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
R3TR	ENH	Programs	INCL	Includes	ZFI_INCL_NA_IC_VENDOR	Include ZFI_INCL_NA_IC_VENDOR			ZFI	EHP6 FOR SAP ERP 6.0	F050S003		   22	LFA1-LIFNR-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
R3TR	ENH	Programs	INCL	Includes	ZFI_INCL_NA_LINE_TEXT	Include ZFI_INCL_NA_LINE_TEXT			ZFI	EHP6 FOR SAP ERP 6.0	F050S003		   22	LFA1-LIFNR-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
R3TR	ENH	Programs	INCL	Includes	ZFI_INCL_MX_999_SPLIT	Include ZFI_INCL_MX_999_SPLIT			ZFI	EHP6 FOR SAP ERP 6.0	F050S003		   23	BSEG-HKONT-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
R3TR	ENH	Programs	INCL	Includes	ZFI_INCL_NA_LINE_TEXT	Include ZFI_INCL_NA_LINE_TEXT			ZFI	EHP6 FOR SAP ERP 6.0	F050S003		   23	LFA1-NAME1-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
R3TR	ENH	Programs	INCL	Includes	ZFI_INCL_NA_LINE_TEXT	Include ZFI_INCL_NA_LINE_TEXT			ZFI	EHP6 FOR SAP ERP 6.0	F050S003		   24	BSEG-SGTXT-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
