PROGTYPE	OBJTYPE	OBJDESC	SUBOBJ	SUBOBJDESC	OBJNAME	OBJTEXT	APPLN	FRICETYPE	PACKAGE	SYSNAME	MAINPROG	INCL	LINNO	ERRORMSG	MSGTYP	COMPLEXITY	REMEDIATE	PERFFLG	SCFILE	UNICODEERR	DEFTYPE	REFOBJTYP	CATEGORY
Program Type	Object Type	Object Description	Sub Object	Sub Obbject Description	Object Name	Object Text	Application	FRICE Type	Package	System Name	Main Program	Include Program	Line No	Error Message	Message Type	Complexity	Auto Remidiable	Performance Related	Score Code File	Unicode Error	Definition type	Reference Obj Type	Category	Check Defect
R3TR	FRM	Programs	PRIP	Print Programs	Z_AUTO_WRITEOFF_PROGRAM	Auto/Manual Write-Off Program			ZFI	EHP6 FOR SAP ERP 6.0	Z_AUTO_WRITEOFF_PROGRAM	Z_AUTO_WRITEOFF_PROGRAM	   12	UDMCASEATTR00-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1
R3TR	FRM	Programs	PRIP	Print Programs	ZFIR_RFKORDP2_INVC_MX	Printout of Official Receipts Before Payment (Philippines)			ZFI	EHP6 FOR SAP ERP 6.0	ZFIR_RFKORDP2_INVC_MX	ZFIR_RFKORDP2_INVC_MX	   75	BSEG-BUZEI-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1
R3TR	FRM	Programs	PRIP	Print Programs	ZFIR_RFKORDP2_INVC_MX	Printout of Official Receipts Before Payment (Philippines)			ZFI	EHP6 FOR SAP ERP 6.0	ZFIR_RFKORDP2_INVC_MX	ZFIR_RFKORDP2_INVC_MX	   85	KNA1-TELF1-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1
R3TR	FRM	Programs	PRIP	Print Programs	ZFIR_RFKORDP2_INVC_MX	Printout of Official Receipts Before Payment (Philippines)			ZFI	EHP6 FOR SAP ERP 6.0	ZFIR_RFKORDP2_INVC_MX	ZFIR_RFKORDP2_INVC_MX	   86	KNA1-STRAS-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1
R3TR	FRM	Programs	PRIP	Print Programs	ZFIR_RFKORDP2_INVC_MX	Printout of Official Receipts Before Payment (Philippines)			ZFI	EHP6 FOR SAP ERP 6.0	ZFIR_RFKORDP2_INVC_MX	ZFIR_RFKORDP2_INVC_MX	   90	KNA1-NAME1-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1
R3TR	FRM	Programs	PRIP	Print Programs	ZFIR_RFKORDP2_INVC_MX	Printout of Official Receipts Before Payment (Philippines)			ZFI	EHP6 FOR SAP ERP 6.0	ZFIR_RFKORDP2_INVC_MX	ZFIR_RFKORDP2_INVC_MX	   91	KNA1-LAND1-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1
R3TR	FRM	Programs	PRIP	Print Programs	ZFIR_RFKORDP2_INVC_MX	Printout of Official Receipts Before Payment (Philippines)			ZFI	EHP6 FOR SAP ERP 6.0	ZFIR_RFKORDP2_INVC_MX	ZFIR_RFKORDP2_INVC_MX	   92	KNA1-PSTLZ-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1
R3TR	FRM	Programs	PRIP	Print Programs	ZFIR_RFKORDP2_INVC_MX	Printout of Official Receipts Before Payment (Philippines)			ZFI	EHP6 FOR SAP ERP 6.0	ZFIR_RFKORDP2_INVC_MX	ZFIR_RFKORDP2_INVC_MX	   93	KNA1-STRAS-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1
R3TR	FRM	Programs	PRIP	Print Programs	ZFIR_RFKORDP2_INVC_MX	Printout of Official Receipts Before Payment (Philippines)			ZFI	EHP6 FOR SAP ERP 6.0	ZFIR_RFKORDP2_INVC_MX	ZFIR_RFKORDP2_INVC_MX	   94	KNA1-TELF1-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1
R3TR	FRM	Programs	PRIP	Print Programs	ZFIR_RFKORDP2_INVC_MX	Printout of Official Receipts Before Payment (Philippines)			ZFI	EHP6 FOR SAP ERP 6.0	ZFIR_RFKORDP2_INVC_MX	ZFIR_RFKORDP2_INVC_MX	   95	KNA1-STCD1-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1
R3TR	FRM	Programs	PRIP	Print Programs	ZFIR_RFKORDP2_INVC_MX	Printout of Official Receipts Before Payment (Philippines)			ZFI	EHP6 FOR SAP ERP 6.0	ZFIR_RFKORDP2_INVC_MX	ZFIR_RFKORDP2_INVC_MX	   96	KNA1-REGIO-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1
R3TR	FRM	Programs	PRIP	Print Programs	ZFIR_RFKORDP2_INVC_MX	Printout of Official Receipts Before Payment (Philippines)			ZFI	EHP6 FOR SAP ERP 6.0	ZFIR_RFKORDP2_INVC_MX	ZFIR_RFKORDP2_INVC_MX	  106	BSEG-BSCHL-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1
R3TR	FRM	Programs	PRIP	Print Programs	ZFIR_RFKORDP2_INVC_MX	Printout of Official Receipts Before Payment (Philippines)			ZFI	EHP6 FOR SAP ERP 6.0	ZFIR_RFKORDP2_INVC_MX	ZFIR_RFKORDP2_INVC_MX	  107	BSEG-SHKZG-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1
R3TR	FRM	Programs	PRIP	Print Programs	ZFIR_RFKORDP2_INVC_MX	Printout of Official Receipts Before Payment (Philippines)			ZFI	EHP6 FOR SAP ERP 6.0	ZFIR_RFKORDP2_INVC_MX	ZFIR_RFKORDP2_INVC_MX	  108	BSEG-HKONT-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1
R3TR	FRM	Programs	PRIP	Print Programs	ZFIR_RFKORDP2_INVC_MX	Printout of Official Receipts Before Payment (Philippines)			ZFI	EHP6 FOR SAP ERP 6.0	ZFIR_RFKORDP2_INVC_MX	ZFIR_RFKORDP2_INVC_MX	  109	BSEG-WRBTR-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1
R3TR	FRM	Programs	PRIP	Print Programs	ZFIR_RFKORDP2_INVC_MX	Printout of Official Receipts Before Payment (Philippines)			ZFI	EHP6 FOR SAP ERP 6.0	ZFIR_RFKORDP2_INVC_MX	ZFIR_RFKORDP2_INVC_MX	  111	BSEG-ZUONR-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1
R3TR	FRM	Programs	PRIP	Print Programs	ZFIR_RFKORDP2_INVC_MX	Printout of Official Receipts Before Payment (Philippines)			ZFI	EHP6 FOR SAP ERP 6.0	ZFIR_RFKORDP2_INVC_MX	ZFIR_RFKORDP2_INVC_MX	  112	BSEG-KTOSL-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1
R3TR	FRM	Programs	PRIP	Print Programs	ZFIR_RFKORDP2_INVC_MX	Printout of Official Receipts Before Payment (Philippines)			ZFI	EHP6 FOR SAP ERP 6.0	ZFIR_RFKORDP2_INVC_MX	ZFIR_RFKORDP2_INVC_MX	  113	BSEG-KOKRS-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1
R3TR	FRM	Programs	PRIP	Print Programs	ZFIR_RFKORDP2_INVC_MX	Printout of Official Receipts Before Payment (Philippines)			ZFI	EHP6 FOR SAP ERP 6.0	ZFIR_RFKORDP2_INVC_MX	ZFIR_RFKORDP2_INVC_MX	  114	BSEG-EMPFB-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1
R3TR	FRM	Programs	PRIP	Print Programs	ZFIR_RFKORDP2_INVC_MX	Printout of Official Receipts Before Payment (Philippines)			ZFI	EHP6 FOR SAP ERP 6.0	ZFIR_RFKORDP2_INVC_MX	ZFIR_RFKORDP2_INVC_MX	  115	BSEG-SGTXT-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1
R3TR	FRM	Programs	PRIP	Print Programs	ZRAP_OPEN_DAILY_AP_AGING	Open Daily A/P Aging Report (RP056)			ZFI	EHP6 FOR SAP ERP 6.0	ZRAP_OPEN_DAILY_AP_AGING	ZRAP_OPEN_DAILY_AP_AGING	  117	LFA1-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1
R3TR	FRM	Programs	PRIP	Print Programs	ZFIR_RFKORDP2_INVC_MX	Printout of Official Receipts Before Payment (Philippines)			ZFI	EHP6 FOR SAP ERP 6.0	ZFIR_RFKORDP2_INVC_MX	ZFIR_RFKORDP2_INVC_MX	  118	BSEG-DMBTR-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1
