PROGTYPE	OBJTYPE	OBJDESC	SUBOBJ	SUBOBJDESC	OBJNAME	OBJTEXT	APPLN	FRICETYPE	PACKAGE	SYSNAME	MAINPROG	INCL	LINNO	ERRORMSG	MSGTYP	COMPLEXITY	REMEDIATE	PERFFLG	SCFILE	UNICODEERR	DEFTYPE	REFOBJTYP	CATEGORY
Program Type	Object Type	Object Description	Sub Object	Sub Obbject Description	Object Name	Object Text	Application	FRICE Type	Package	System Name	Main Program	Include Program	Line No	Error Message	Message Type	Complexity	Auto Remidiable	Performance Related	Score Code File	Unicode Error	Definition type	Reference Obj Type	Category	Check Defect
R3TR	OTH	Others	METH	Method (ABAP Objects)	IF_EX_FDM_AR_CDIS_AMOUNT~CALCULATE	CONSTRUCTOR			ZFI	EHP6 FOR SAP ERP 6.0	ZFDM_AR_CDIS_AMOUNT	ZFDM_AR_CDIS_AMOUNT===========CM001	    5	FDM_AR_BSEG-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
R3TR	OTH	Others	METH	Method (ABAP Objects)	CREATE_FAKE_INCLUDE_NAME	CREATE_FAKE_INCLUDE_NAME			ZSYCM_ANALYSIS	EHP6 FOR SAP ERP 6.0	ZCL_YCM_MODIFICATION_REFERENCE	ZCL_YCM_MODIFICATION_REFERENCECM003	    6	Function module GUID_CREATE is flagged as Obsolete	E	1					O		1
R3TR	OTH	Others	METH	Method (ABAP Objects)	CREATE_FAKE_INCLUDE_NAME				ZUPD_SYCM	EHP6 FOR SAP ERP 6.0	ZUPD_S4CL_YCM_MODIF_REFS	ZUPD_S4CL_YCM_MODIF_REFS======CM003	    6	Function module GUID_CREATE is flagged as Obsolete	E	1					O		1
R3TR	OTH	Others	METH	Method (ABAP Objects)	SEND_MAIL				ZARIBA	EHP6 FOR SAP ERP 6.0	ZCL_AB_SEND_NOTIFICATION	ZCL_AB_SEND_NOTIFICATION======CM001	    8	/ARBA/TVARV-NAME-has been altered by SAP	E	3					O		3
R3TR	OTH	Others	METH	Method (ABAP Objects)	SEND_MAIL				ZARIBA	EHP6 FOR SAP ERP 6.0	ZCL_AB_SEND_NOTIFICATION	ZCL_AB_SEND_NOTIFICATION======CM001	   17	/ARBA/TVARV-has been altered by SAP	E	3					O		3
R3TR	OTH	Others	METH	Method (ABAP Objects)	ITAB_TO_HTML	Convert internal table to HTML			ZCA_UTILITIES	EHP6 FOR SAP ERP 6.0	ZCL_EMAIL_BODY_HTML	ZCL_EMAIL_BODY_HTML===========CM004	   17	Function module WWW_ITAB_TO_HTML is flagged as Obsolete	E	1					O		1
R3TR	OTH	Others	METH	Method (ABAP Objects)	SEND_MAIL				ZARIBA	EHP6 FOR SAP ERP 6.0	ZCL_AB_SEND_NOTIFICATION	ZCL_AB_SEND_NOTIFICATION======CM001	   18	/ARBA/TVARV-has been altered by SAP	E	3					O		3
R3TR	OTH	Others	METH	Method (ABAP Objects)	IF_IDFI_CGI_DMEE_COUNTRIES~GET_VALUE	CONSTRUCTOR			ZDMEE	EHP6 FOR SAP ERP 6.0	ZFI_CL_IDFI_CGI_DMEE_HK	ZFI_CL_IDFI_CGI_DMEE_HK=======CM001	   24	DMEE_PAYM_IF_TYPE-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
R3TR	OTH	Others	METH	Method (ABAP Objects)	IF_IDFI_CGI_DMEE_COUNTRIES~GET_VALUE	CONSTRUCTOR			ZDMEE	EHP6 FOR SAP ERP 6.0	ZFI_CL_IDFI_CGI_DMEE_HK	ZFI_CL_IDFI_CGI_DMEE_HK=======CM001	   26	SETLEAF-SETNAME-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
R3TR	OTH	Others	METH	Method (ABAP Objects)	SEND_MAIL				ZARIBA	EHP6 FOR SAP ERP 6.0	ZCL_AB_SEND_NOTIFICATION	ZCL_AB_SEND_NOTIFICATION======CM001	   37	/ARBA/TVARV-NAME-has been altered by SAP	E	3					O		3
