PROGTYPE	OBJTYPE	OBJDESC	SUBOBJ	SUBOBJDESC	OBJNAME	OBJTEXT	APPLN	PACKAGE	MAINPROG	INCL	LINNO	ERRORMSG	MSGTYP	COMPLEXITY	CATEGORY	CHECK_DEFECT

PROGRAM TYPE	OBJECT TYPE	OBJECT DESCRIPTION	SUB OBJECT	SUBOBJECT DESCRIPTION	OBJECT NAME	OBJECT TEXT	APPLICATION	PACKAGE	MAIN PROGRAM	INCL	LINNO	ERROR MESSAGE	MESSAGE TYPE	COMPLEXITY	CATEGORY	CHECK_DEFECT

R3TR	PROG	Programs	INCL	Includes	LZBBP_PLMF01			ZBBP	SAPLZBBP_PLM		13	Function module GUID_CREATE is flagged as Obsolete	E	1	1	GUID_CREATE

R3TR	PROG	Programs	INCL	Includes	ZVR_IDOC_STAT1000_PAI	Include ZVR_IDOC_STAT1000_PAI		ZABP			139	Function module POPUP_TO_CONFIRM_STEP is flagged as Obsolete	E	1	1	POPUP_TO_CONFIRM_STEP

R3TR	PROG	Programs	INCL	Includes	LZBBP_PLMF05			ZBBP	SAPLZBBP_PLM		173	Function module GUID_CREATE is flagged as Obsolete	E	1	1	GUID_CREATE

R3TR	PROG	Programs	MODP	Module Pool	ZCIMPRBG	ABAP Data Cluster User Interface		Z001			36	Function module POPUP_TO_CONFIRM_WITH_VALUE is flagged as Obsolete	E	1	1	POPUP_TO_CONFIRM_WITH_VALUE

R3TR	PROG	Programs	MODP	Module Pool	ZCIMPRBG	ABAP Data Cluster User Interface		Z001			425	Function module POPUP_TO_CONFIRM_WITH_VALUE is flagged as Obsolete	E	1	1	POPUP_TO_CONFIRM_WITH_VALUE

R3TR	PROG	Programs	MODP	Module Pool	ZCIMPRBG	ABAP Data Cluster User Interface		Z001			492	Function module POPUP_TO_CONFIRM_WITH_VALUE is flagged as Obsolete	E	1	1	POPUP_TO_CONFIRM_WITH_VALUE

R3TR	PROG	Programs	MODP	Module Pool	ZCIMPRBG	ABAP Data Cluster User Interface		Z001			520	Function module POPUP_TO_CONFIRM_WITH_VALUE is flagged as Obsolete	E	1	1	POPUP_TO_CONFIRM_WITH_VALUE

R3TR	PROG	Programs	MODP	Module Pool	ZCIMPRBG	ABAP Data Cluster User Interface		Z001			798	Function module POPUP_TO_CONFIRM_WITH_VALUE is flagged as Obsolete	E	1	1	POPUP_TO_CONFIRM_WITH_VALUE

R3TR	PROG	Programs	MODP	Module Pool	ZCIMPRBG	ABAP Data Cluster User Interface		Z001			1053	Function module POPUP_TO_CONFIRM_WITH_VALUE is flagged as Obsolete	E	1	1	POPUP_TO_CONFIRM_WITH_VALUE

R3TR	PROG	Programs	MODP	Module Pool	ZCIMPRBG	ABAP Data Cluster User Interface		Z001			1267	Function module POPUP_TO_CONFIRM_WITH_VALUE is flagged as Obsolete	E	1	1	POPUP_TO_CONFIRM_WITH_VALUE

R3TR	PROG	Programs	PROG	Program	Z_DELETE_BDOCS	Report Z_DELETE_BDOCS		ZBC			274	Function module POPUP_TO_CONFIRM_STEP is flagged as Obsolete	E	1	1	POPUP_TO_CONFIRM_STEP

R3TR	PROG	Programs	PROG	Program	ZEBP_ORG_USER_ATTRIBUTES	EBP User Attribute Report		ZABP			1193	Function module BBP_USER_ORGASSIGNMENT_GET is flagged as Obsolete	E	1	1	BBP_USER_ORGASSIGNMENT_GET

R3TR	PROG	Programs	PROG	Program	ZEBP_ORG_USER_ATTRIBUTES	EBP User Attribute Report		ZABP			1484	Function module BBP_USER_GET_DETAIL is flagged as Obsolete	E	1	1	BBP_USER_GET_DETAI
