PROGTYPE	OBJTYPE	OBJDESC	SUBOBJ	SUBOBJDESC	OBJNAME	OBJTEXT	APPLN	FRICETYPE	PACKAGE	SYSNAME	MAINPROG	INCL	LINNO	ERRORMSG	MSGTYP	COMPLEXITY	REMEDIATE	PERFFLG	SCFILE	UNICODEERR	DEFTYPE	REFOBJTYP	CATEGORY	CHECK_DEFECT

PROGRAM TYPE	OBJECT TYPE	OBJECT DESCRIPTION	SUB OBJECT	SUBOBJECT DESCRIPTION	OBJECT NAME	OBJECT TEXT	APPLICATION	FRICETYPE	PACKAGE	SYSNAME	MAIN PROGRAM	INCL	LINNO	ERROR MESSAGE	MESSAGE TYPE	COMPLEXITY 	REMEDIATE	PERFORMANCE FLAG 	SCFILE 	UNICODE ERROR 	DEFECT TYPE 	REFERENCE OBJECT TYPE	CATEGORY	CHECK_DEFECT

R3TR	PROG	Programs	INCL	Includes	ZMM_KANBAN_QUERY_TOP	Include ZMM_KANBAN_QUERY_TOP			Z001	SAP ECC 6.0	ZMM_KANBAN_QUERY	ZMM_KANBAN_QUERY_TOP	   10	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZSD_ROR_TOP	Include ZSD_ROR_TOP			Z001	SAP ECC 6.0	ZSD_ROR	ZSD_ROR_TOP	   11	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZMM_BACKLOG_REPORT_TOP	Include ZMM_BACKLOG_REPORT_TOP			Z001	SAP ECC 6.0	ZMM_BACKLOG_REPORT	ZMM_BACKLOG_REPORT_TOP	   17	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZMM_INTEGRATION_POINT_TOP	Include ZMM_INTEGRATION_POINT_TOP			Z001	SAP ECC 6.0	ZMM_INTEGRATION_POINT	ZMM_INTEGRATION_POINT_TOP	   20	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZSD_PROCESSES_TOP	Include ZSD_PROCESSES_TOP			ZUPD_SD	SAP ECC 6.0			   20	VBTYP-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1	VBTYP
R3TR	PROG	Programs	INCL	Includes	ZSD_FORECAST_STATUS_TOP	Include ZSD_FORECAST_STATUS_TOP			Z001	SAP ECC 6.0	ZSD_FORECAST_STATUS	ZSD_FORECAST_STATUS_TOP	   21	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZMM_MATERIAL_UPDATE_TOP	Include ZMM_MATERIAL_UPDATE_TOP			Z001	SAP ECC 6.0	ZMM_MATERIAL_UPDATE	ZMM_MATERIAL_UPDATE_TOP	   23	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZMM_PLAN_VS_ACTUAL_TOP	Include ZMM_PLAN_VS_ACTUAL_TOP			Z001	SAP ECC 6.0	ZMM_PLAN_VS_ACTUAL	ZMM_PLAN_VS_ACTUAL_TOP	   23	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZMM_IF_KANBAN_MASTER_TOP	Include ZMM_IF_KANBAN_MASTER_TOP			Z001	SAP ECC 6.0	ZMM_IF_KANBAN_MASTER	ZMM_IF_KANBAN_MASTER_TOP	   23	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZFI_I99_GLOBAL_NETTING_FORM	Include ZFI_I99_GLOBAL_NETTING_FORM			Z001	SAP ECC 6.0	ZFI_I99_GLOBAL_NETTING	ZFI_I99_GLOBAL_NETTING_FORM	   23	Syntax or Keyword MODIFY is Obsolete	E	2		X			O		2	MODIFY SCREEN
R3TR	PROG	Programs	INCL	Includes	ZFI_GR_TO_PAYMENTS_TOP	Include ZFI_GR_TO_PAYMENTS_TOP			Z001	SAP ECC 6.0	ZFI_GR_TO_PAYMENTS	ZFI_GR_TO_PAYMENTS_TOP	   24	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZMM_MATERIAL_MASTER_EXT_TOP	Include ZMM_MATERIAL_MASTER_EXT_TOP			Z001	SAP ECC 6.0	ZMM_MATERIAL_MASTER_EXTENSION	ZMM_MATERIAL_MASTER_EXT_TOP	   25	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZFI_INVENTORY_REPORT_EINV_TOP	Include ZFI_INVENTORY_TOP			Z001	SAP ECC 6.0	ZFI_INVENTORY_REPORT_EINV	ZFI_INVENTORY_REPORT_EINV_TOP	   26	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZPP_COE_REPORT_TOP	Include ZPP_COE_REPORT_TOP			ZUPD_DEL_PP	SAP ECC 6.0			   26	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZSD_IF_LIOS_TOP	Include ZSD_IF_LIOS_TOP			Z001	SAP ECC 6.0	ZSD_IF_LIOS	ZSD_IF_LIOS_TOP	   26	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZSD_ORDER_STATUS_TOP	Include ZSD_ORDER_STATUS_TOP			Z001	SAP ECC 6.0	ZSD_ORDER_STATUS	ZSD_ORDER_STATUS_TOP	   28	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZMM_IF_KANBAN_MASTER_FORM	Include ZMM_IF_KANBAN_MASTER_FORM			Z001	SAP ECC 6.0	ZMM_IF_KANBAN_MASTER	ZMM_IF_KANBAN_MASTER_FORM	   28	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZMM_MATERIAL_MASTER_EXT_FORM	Include ZMM_MATERIAL_MASTER_EXT_FORM			Z001	SAP ECC 6.0	ZMM_MATERIAL_MASTER_EXTENSION	ZMM_MATERIAL_MASTER_EXT_FORM	   29	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1	MATNR
