SUBOBJ	SUBOBJDESC	INVOCNT	DEFOCNT	TERROCONT	TERRCNT	COMP1CNT	COMP2CNT	COMP3CNT	WARNINGS	ERRORS													
Program Type	Object Type	Object Description	Sub Object	Sub Obbject Description	Object Name	Object Text	Application	FRICE Type	Package	System Name	Main Program	Include Program	Line No	Error Message	Message Type	Complexity	Auto Remidiable	Performance Related	Score Code File	Unicode Error	Definition type	Reference Obj Type	Category	Check Defect
FUNC	Function Module	0000000072	0000000072	0000000070	0000000459	0000000459	0000000459	0000000459	0000000346	0000000459													
DOMA	Domain	      127	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
DTEL	Data Element	      719	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
ENQU	Lock Object	        2	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
SHLP	Search Help	       15	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
STRC	Structure	      148	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
TABL	Table	      188	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
TTYP	Table Type	       27	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
VIEW	View	       18	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
CMOD	Customer enhancement projects	        9	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
ENHO	Enhancement Implementation	       16	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
IEXT	Enhancement	        1	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
SXCI	Business Add-Ins - Implementations	       37	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
FORM	SAPscript form	       12	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
SSFO	SAP Smart Form	       21	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
CLAS	Class (ABAP Objects)	      136	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
DEVC	Package	       53	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
DOCT	General Text	       13	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
FUGR	Function Group	       75	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
INTF	Interface (ABAP Objects)	       55	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
METH	Method (ABAP Objects)	      877	      877	0000000767	0000004243	0000004243	0000004240	0000004240	0000004201	0000004243													
MSAG	Message Class	       16	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
PRIN	Printer Description	        8	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
SCVI	Screen variants	       37	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
SHI3	General structure storage: Definition of a structure	        1	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
SOTR	All Concepts (OTR) of a Package - Short Texts	        4	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
SPLO	Format Types	        1	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
SRM1	Element Type	        3	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
SSST	SAP Smart Style	        4	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
STVI	Transaction variants (cross-client)	        3	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
SUSC	Authorization object class	        1	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
SUSO	Authorization object	        3	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
TOBJ	Definition of a Maintenance and Transport Object	       84	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
TRAN	Transaction	      362	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
INCL	Includes	0000000832	0000000832	0000000832	0000076857	0000076857	0000076856	0000076856	0000074597	0000076857													
MODP	Module Pool	        8	        8	0000000008	0000000034	0000000034	0000000034	0000000034	0000000000	0000000034													
PRIP	Print Programs	        8	        8	0000000008	0000000118	0000000118	0000000118	0000000118	0000000053	0000000118													
PROG	Program	0000000892	0000000892	0000000892	0000017122	0000017122	0000017108	0000017108	0000007682	0000017122													
SUBP	Subroutine Pool	        6	        6	0000000006	0000004763	0000004763	0000004763	0000004763	0000004616	0000004763													
AQBG	ABAP Query: User group	        4	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
AQQU	ABAP Query: Query	        9	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
AQSG	ABAP Query: Functional area	        7	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
BFUN	BDC - Function Modules	0000000005	0000000005	0000000005	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
BINC	BDC - Program includes	0000000007	0000000007	0000000007	0000000052	0000000052	0000000052	0000000052	0000000011	0000000052													
BMOD	BDC - Module pool programs	0	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
