OBJTYPE	OBJDESC	INVOCNT	TOTDEFANA	TOTOBJDEF	TOTDEF	TOTLOWDEF	TOTMEDDEF	TOTHGHDEF	WARNINGS	ERRORS	TOTPERANA	TOTOBJPER	TOTPER	PERSEV1	PERSEV2	PERSEV3	PERSEV4	TOTLOWPER	TOTMEDPER	TOTHGHPER
FUNC	Function Module	0000000028	       28	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000										
DOMA	Domain	0000000008	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000										
DTEL	Data Element	0000000066	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000										
SHLP	Search Help	0000000004	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000										
STRC	Structure	0000000020	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000										
TABL	Table	0000000019	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000										
VIEW	View	0000000002	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000										
SXCI	Business Add-Ins - Implementations	0000000015	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000										
SSFO	SAP Smart Form	0000000001	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000										
CLAS	Class (ABAP Objects)	0000000015	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000										
DEVC	Package	0000000008	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000										
FUGR	Function Group	0000000012	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000										
METH	Method (ABAP Objects)	0000000153	      153	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000										
MSAG	Message Class	0000000001	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000										
SCAT	Test case	0000000002	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000										
SCP1	BC Set or Customizing Profile	0000000001	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000										
SCVI	Screen variants	0000000142	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000										
STVI	Transaction variants (cross-client)	0000000012	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000										
SUSC	Authorization object class	0000000002	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000										
SUSO	Authorization object	0000000002	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000										
TOBJ	Definition of a Maintenance and Transport Object	0000000004	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000										
TRAN	Transaction	0000000024	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000										
INCL	Includes	0000000041	       41	0000000003	0000000003	0000000000	0000000000	0000000000	0000000003										
MODP	Module Pool	0000000001	        1	0000000007	0000000007	0000000000	0000000000	0000000000	0000000007										
PRIP	Print Programs	0000000001	        1	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000										
PROG	Program	0000000041	0000000041	0000000003	0000000003	0000000000	0000000000	0000000000	0000000003										
AQBG	ABAP Query: User group	0000000001	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000										
AQQU	ABAP Query: Query	0000000001	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000										
AQSG	ABAP Query: Functional area	0000000001	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000										
CORE	Core Modifications	0000000132	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000										
BPRO	Program	0000000001	0000000001	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000										
