OBJTYPE	OBJDESC	TOTCNT	TOTDEFANA	TOTOBJDEF	OBSCNT	SYNTAXCNT	UPGRADECNT	COMPLEX1CNT	COMPLEX2CNT	COMPLEX3CNT	COMPLEX4CNT	OBSKWRDCNT	OBSFMCNT	OBSDDICCNT	SCFILENAME	REMEDIATECNT	UNICODECNT	ERRORCNT	WARNINGCNT	CCNT1	CCNT2	CCNT3	SCNT1	SCNT2	SCNT3	SCNT4	TOTPERANA	TOTOBJPER
FM	Function Module	0000000043	0000000043	0000000006	0000000011	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000011	SC_ERRINFO_SUM20170420_122359.TXT	0000000000	0000000000	0000000011	0000000000								0000000000	0000000000
CORE	Core Modifications	0000000008	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000		0000000000	0000000000	0000000000	0000000000								0000000000	0000000000
DDIC	Data Dictionary	0000000917	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000		0000000000	0000000000	0000000000	0000000000								0000000000	0000000000
ENH	Enhancements	0000000012	0000000012	0000000001	0000000001	0000000000	0000000000	0000000000	0000000001	0000000000	0000000000	0000000001	0000000000	0000000000	SC_ERRINFO_SUM20170420_122359.TXT	0000000000	0000000000	0000000001	0000000000								0000000000	0000000000
FRM	Forms	0000000006	0000000002	0000000002	0000000005	0000000369	0000000000	0000000001	0000000004	0000000369	0000000000	0000000004	0000000001	0000000000	SC_ERRINFO_SUM20170420_122359.TXT	0000000000	0000000000	0000000037	0000000337	     21	     55	     35	     16	     21	     19	     55	0000000002	0000000002
PROG	Programs	0000000439	0000000434	0000000212	0000000447	0000004894	0000000000	0000000001	0000000097	0000004894	0000000000	0000000097	0000000001	0000000347	SC_ERRINFO_SUM20170420_122359.TXT	0000000000	0000000000	0000001151	0000004190	   1044	    644	   1763	    440	   1423	    665	    923	0000000434	0000000096
QUER	Queries	0000000013	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000		0000000000	0000000000	0000000000	0000000000								0000000000	0000000000
OTH	Others	0000001215	0000000692	0000000013	0000000019	0000000000	0000000000	0000000005	0000000000	0000000000	0000000000	0000000000	0000000005	0000000014	SC_ERRINFO_SUM20170420_122359.TXT	0000000000	0000000000	0000000019	0000000000	    139	    226	    249	     35	    417	     79	     83	0000000108	0000000045
BDC	BDC Objects	0000000008	0000000008	0000000005	0000000020	0000000029	0000000000	0000000001	0000000010	0000000029	0000000000	0000000010	0000000001	0000000009	SC_ERRINFO_SUM20170420_122359.TXT	0000000000	0000000000	0000000022	0000000027								0000000000	0000000000
HANA		0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000001157	0000000086	0000000000	0000000000	0000000000	0000000000		0000000000	0000000000	0000001243	0000000000								0000000000	0000000000
