PROGTYPE	OBJTYPE	OBJDESC	SUBOBJ	SUBOBJDESC	OBJNAME	OBJTEXT	APPLN	FRICETYPE	PACKAGE	SYSNAME	MAINPROG	INCL	R_MAIN_OBJ
Program type	Obj Type	Obj Desc	Sub-Obj Type	Sub-Obj Desc.	Object Name.	Object Desc.	Application Name	Frice Type	Package	Sys Name	Main Package	Include Name	Ref. Obj. Type
LIMU	CLON	Clone Objects	FUNC	Function Module	Z_PRELIMINARY_POSTING_POST_ALL	Vorerfaßte Belege buchen ohne Dynpro		N	ZFI	EHP6 FOR SAP ERP 6.0	SAPLZFI_FBS1	LZFI_FBS1U02	
LIMU	CLON	Clone Objects	FUNC	Function Module	Z_PRELIMINARY_POSTING_FB01	Vorerfaßten Beleg buchen aus FB01		N	ZFI	EHP6 FOR SAP ERP 6.0	SAPLZFI_FBS1	LZFI_FBS1U01	
LIMU	CLON	Clone Objects	FUNC	Function Module	Z_PP_COMPLETE_DOCUMENT_ENJ	Vervollständigen eines vorerfassten Beleges aus den Enjoy Transaktione		N	ZFI	EHP6 FOR SAP ERP 6.0	SAPLZFI_FBS1	LZFI_FBS1U03	
LIMU	CLON	Clone Objects	FUNC	Function Module	Z_FI_ITEMS_MASS_CHANGE	Massenänderung von Einzelposten		N	ZFI	EHP6 FOR SAP ERP 6.0	SAPLZFI_THCHINA	LZFI_THCHINAU01	
LIMU	CLON	Clone Objects	FUNC	Function Module	ZFI_FI_PAYMEDIUM_DMEE_CGI_05	DMEE: Reference fields for the format CGI_XML_CT		N	ZDMEE	EHP6 FOR SAP ERP 6.0	SAPLZDMEE	LZDMEEU01	
LIMU	CLON	Clone Objects	FUNC	Function Module	ZARCHIVFILE_SERVER_TO_SERVER	Kopieren Datei von Server auf Server		N	ZFI	EHP6 FOR SAP ERP 6.0	SAPLZARCHIVFILE_SERVER_TO_SERV	LZARCHIVFILE_SERVER_TO_SERVU01	
LIMU	CLON	Clone Objects	FUNC	Function Module	ZALSM_EXCEL_TO_INTERNAL_TABLE	Datenübernahme aus Excel mit OLE - Konvertierung ins interne Format		N	ZFI	EHP6 FOR SAP ERP 6.0	SAPLZEXCEL_UPLOAD	LZEXCEL_UPLOADU01	
LIMU	CLON	Clone Objects	FUNC	Function Module	Z_PRELIMINARY_POSTING_POST_D	Vorerfaßten Beleg buchen mit Dynpros		N	ZFI	EHP6 FOR SAP ERP 6.0	SAPLZFI_FBS1	LZFI_FBS1U05	
R3TR	CLON	Clone Objects	INCL	Includes	ZMF05VI00	SAPMF05V PAI Module	Financial accounting	N	ZFI	EHP6 FOR SAP ERP 6.0			
R3TR	CLON	Clone Objects	INCL	Includes	ZRFFORI01_CA	International Payment Medium Include: Check	Financial accounting	N	ZFI_NA_SMARTFORMS	EHP6 FOR SAP ERP 6.0			
R3TR	CLON	Clone Objects	INCL	Includes	ZRFFORI01_US	International Payment Medium Include: Check	Financial accounting	N	ZFI	EHP6 FOR SAP ERP 6.0			
R3TR	CLON	Clone Objects	INCL	Includes	ZRFFORI01_USA	International Payment Medium Include: Check	Financial accounting	N	ZFI_NA_SMARTFORMS	EHP6 FOR SAP ERP 6.0			
R3TR	CLON	Clone Objects	INCL	Includes	ZRFFORI06_CA	International Payment Medium Include: Payment Advice	Financial accounting	N	ZFI_NA_SMARTFORMS	EHP6 FOR SAP ERP 6.0			
R3TR	CLON	Clone Objects	INCL	Includes	ZRFFORI06_US	International Payment Medium Include: Payment Advice	Financial accounting	N	ZFI	EHP6 FOR SAP ERP 6.0			
R3TR	CLON	Clone Objects	INCL	Includes	ZRFFORI06_USA	International Payment Medium Include: Payment Advice	Financial accounting	N	ZFI_NA_SMARTFORMS	EHP6 FOR SAP ERP 6.0			
R3TR	CLON	Clone Objects	INCL	Includes	ZRFFORIY1	Payment Medium Include (BRAZIL): DME in A/R	Financial accounting	N	ZFI	EHP6 FOR SAP ERP 6.0			
R3TR	CLON	Clone Objects	INCL	Includes	ZRFKORI00	Form Printout Include Module: Declaration Part 1	Financial accounting	N	ZFI	EHP6 FOR SAP ERP 6.0			
R3TR	CLON	Clone Objects	INCL	Includes	ZRFKORI01	Form Printout Include Module: Declaration Section 2	Financial accounting	N	ZFI	EHP6 FOR SAP ERP 6.0			
R3TR	CLON	Clone Objects	INCL	Includes	ZRFKORI04	Form Printout Include Module: Declaration Section 5	Financial accounting	N	ZFI	EHP6 FOR SAP ERP 6.0			
R3TR	CLON	Clone Objects	INCL	Includes	ZRFKORI13PH		Financial accounting	N	ZFI	EHP6 FOR SAP ERP 6.0			
R3TR	CLON	Clone Objects	INCL	Includes	ZRFKORI25PH		Financial accounting	N	ZFI	EHP6 FOR SAP ERP 6.0			
R3TR	CLON	Clone Objects	INCL	Includes	ZRFKORI70	Form Printout Include Module: Analysis Routines 1	Financial accounting	N	ZFI	EHP6 FOR SAP ERP 6.0			
R3TR	CLON	Clone Objects	INCL	Includes	ZRFKORI80	Form Printout Include Module: Read Routines	Financial accounting	N	ZFI	EHP6 FOR SAP ERP 6.0			
R3TR	CLON	Clone Objects	INCL	Includes	ZRFKORI81	Form Printout Include Module: Read Routines 2	Financial accounting	N	ZFI	EHP6 FOR SAP ERP 6.0			
R3TR	CLON	Clone Objects	INCL	Includes	ZRFKORI90	Form Printout Include Module: General Subroutines	Financial accounting	N	ZFI	EHP6 FOR SAP ERP 6.0			
