PROGTYPE	OBJTYPE	OBJDESC	SUBOBJ	SUBOBJDESC	OBJNAME	OBJTEXT	APPLN	FRICETYPE	PACKAGE	SYSNAME	MAINPROG	INCL	REFOBJTYP
Program type	Obj Type	Obj Desc.	Sub-Obj Type	Sub-Obj Desc.	Object Name	Object Desc.	Application Name	Frice Type	Package	Sys Name	Main Program	Include Name	Ref. Obj. Type
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	926266			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	901912			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	888577			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	715355			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	732580			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	751120			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	618019			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	593638			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	527315			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	486463			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	899943			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	899503			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	858153			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	824257			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	927479			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	760236			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	851825			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	852542			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	852784			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	850474			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	849934			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	847427			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	854886			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	924457			C		SRM 4.00			
