PROGTYPE	OBJTYPE	OBJDESC	SUBOBJ	SUBOBJDESC	OBJNAME	OBJTEXT	APPLN	FRICETYPE	PACKAGE	SYSNAME	MAINPROG	INCL	REFOBJTYP
Program type	Obj Type	Obj Desc	Sub-Obj Type	Sub-Obj Desc.	Object Name.	Object Desc.	Application Name	Frice Type	Package	Sys Name	Main Package	Include Name	Ref. Obj. Type
R3TR	ENH	Enhancements	SXCI	Business Add-Ins - Implementations	ZFDM_AR_DEF_PROCESSO				ZFI	EHP6 FOR SAP ERP 6.0	ZCL_IM_FDM_AR_DEF_PROCESSO		
R3TR	ENH	Enhancements	SXCI	Business Add-Ins - Implementations	ZUDM_S_BR00000014				ZFI	EHP6 FOR SAP ERP 6.0	ZCL_IM_UDM_S_BR00000014		
R3TR	ENH	Enhancements	SXCI	Business Add-Ins - Implementations	ZUDM_S_BR00000015				ZFI	EHP6 FOR SAP ERP 6.0	ZCL_IM_UDM_S_BR00000015		
R3TR	ENH	Enhancements	SXCI	Business Add-Ins - Implementations	ZUDM_BR00000022				ZFI	EHP6 FOR SAP ERP 6.0	ZCL_IM_UDM_BR00000022		
R3TR	ENH	Enhancements	SXCI	Business Add-Ins - Implementations	ZUDM_S_BR00000016				ZFI	EHP6 FOR SAP ERP 6.0	ZCL_IM_UDM_S_BR00000016		
R3TR	ENH	Enhancements	SXCI	Business Add-Ins - Implementations	ZUDM_S_BR00000017				ZFI	EHP6 FOR SAP ERP 6.0	ZCL_IM_UDM_S_BR00000017		
R3TR	ENH	Enhancements	SXCI	Business Add-Ins - Implementations	ZAB_IMP_MASTER_DATA				ZARIBA	EHP6 FOR SAP ERP 6.0	ZCL_IM_AB_IMP_MASTER_DATA		
R3TR	ENH	Enhancements	SXCI	Business Add-Ins - Implementations	ZUDM_BR00000023				ZFI	EHP6 FOR SAP ERP 6.0	ZCL_IM_UDM_BR00000023		
R3TR	ENH	Enhancements	SXCI	Business Add-Ins - Implementations	ZUDM_CHNG_SGMT_DATA_				ZFI	EHP6 FOR SAP ERP 6.0	ZCL_IM_UDM_CHNG_SGMT_DATA_		
