PROGTYPE	OBJTYPE	OBJDESC	SUBOBJ	SUBOBJDESC	OBJNAME	OBJTEXT	APPLN	FRICETYPE	PACKAGE	SYSNAME	MAINPROG	INCL	REFOBJTYP
Program type	Obj Type	Obj Desc.	Sub-Obj Type	Sub-Obj Desc.	Object Name	Object Desc.	Application Name	Frice Type	Package	Sys Name	Main Program	Include Name	Ref. Obj. Type
LIMU	FM	Function Module	FUNC	Function Module	Z_FIORIBLA_FM02	FIORI Backlog App FM2			Z001	SAP ECC 6.0	SAPLZMM_FIORI_FG	LZMM_FIORI_FGU02	
LIMU	FM	Function Module	FUNC	Function Module	ZMM_BCKLOG_RVA_DEL	fm for rva-del scenario			Z001	SAP ECC 6.0	SAPLZMM_BACKLOG_NEW	LZMM_BACKLOG_NEWU04	
LIMU	FM	Function Module	FUNC	Function Module	ZSD_RESIZE_TABLE_CTRL	function module to resize table control			Z001	SAP ECC 6.0	SAPLZSD_FG_SALES	LZSD_FG_SALESU06	
LIMU	FM	Function Module	FUNC	Function Module	Z_FIORIBLA_FM01	FIORI Backlog App FM 1			Z001	SAP ECC 6.0	SAPLZMM_FIORI_FG	LZMM_FIORI_FGU01	
LIMU	FM	Function Module	FUNC	Function Module	Z_ALL_PWDRESET_SUBMIT	RFC to Reset Pwd and Unlock User			Z001	SAP ECC 6.0	SAPLZFG_PWDRESET	LZFG_PWDRESETU01	
LIMU	FM	Function Module	FUNC	Function Module	ZMM_BCKLOG_NORVA_NODEL	fm for norva-nodel scenario			Z001	SAP ECC 6.0	SAPLZMM_BACKLOG_NEW	LZMM_BACKLOG_NEWU02	
LIMU	FM	Function Module	FUNC	Function Module	ZMM_BCKLOG_RVA_NODEL	fm for rva-nodel scenario			Z001	SAP ECC 6.0	SAPLZMM_BACKLOG_NEW	LZMM_BACKLOG_NEWU05	
LIMU	FM	Function Module	FUNC	Function Module	ZMM_BCKLOG_NORVA_DEL	fm for norva-del scenario			Z001	SAP ECC 6.0	SAPLZMM_BACKLOG_NEW	LZMM_BACKLOG_NEWU03	
LIMU	FM	Function Module	FUNC	Function Module	ZMM_BACKLOG_NEWFM	Calculate Backlog			Z001	SAP ECC 6.0	SAPLZMM_BACKLOG_NEW	LZMM_BACKLOG_NEWU01	
LIMU	FM	Function Module	FUNC	Function Module	Z_WORK_DATES	US Working Days			Z001	SAP ECC 6.0	SAPLZMM_BACKLOG_CAL	LZMM_BACKLOG_CALU02	
LIMU	FM	Function Module	FUNC	Function Module	Z_ALL_PWDRESET_SYSTEMS	RFC to get list of available systems			Z001	SAP ECC 6.0	SAPLZFG_PWDRESET	LZFG_PWDRESETU02	
LIMU	FM	Function Module	FUNC	Function Module	Z_ALL_PWDRESET_GENERATE_PWD	RFC to generate the new password			Z001	SAP ECC 6.0	SAPLZFG_PWDRESET	LZFG_PWDRESETU03	
LIMU	FM	Function Module	FUNC	Function Module	ZMM_OPEN_ORDER	Open Items			Z001	SAP ECC 6.0	SAPLZFG_OPEN_ORDER	LZFG_OPEN_ORDERU01	
LIMU	FM	Function Module	FUNC	Function Module	ZFM_SIMP_VIEW	"Join Simplification DB with ZSYCM_CUST_REFS, -ENHS and -MODS"			ZSYCM_ANALYSIS	SAP ECC 6.0	SAPLZFG_SIMP_VIEW	LZFG_SIMP_VIEWU01	
