PROGTYPE	OBJTYPE	OBJDESC	SUBOBJ	SUBOBJDESC	OBJNAME	OBJTEXT	APPLN	FRICETYPE	PACKAGE	SYSNAME	MAINPROG	INCL	REFOBJTYP
Program type	Obj Type	Obj Desc	Sub-Obj Type	Sub-Obj Desc.	Object Name.	Object Desc.	Application Name	Frice Type	Package	Sys Name	Main Package	Include Name	Ref. Obj. Type
R3TR	FRM	Forms	SSFO	SAP Smart Form	ZCUST_ITEMREF_6				ZFI	EHP6 FOR SAP ERP 6.0			
R3TR	FRM	Forms	SSFO	SAP Smart Form	ZCUST_ACCTNUM_1				ZFI	EHP6 FOR SAP ERP 6.0			
R3TR	FRM	Forms	SSFO	SAP Smart Form	ZFIAR_CUST_PASTDUE				ZFI_NA_SMARTFORMS	EHP6 FOR SAP ERP 6.0			
R3TR	FRM	Forms	SSFO	SAP Smart Form	ZFI_CUSTOMER_STATEMENT				ZFI	EHP6 FOR SAP ERP 6.0	/1BCDWB/SAPLSF00000001	/1BCDWB/LSF00000001U01	
R3TR	FRM	Forms	SSFO	SAP Smart Form	ZMM_MRO_PO_MEX				ZFI	EHP6 FOR SAP ERP 6.0	/1BCDWB/SAPLSF00000002	/1BCDWB/LSF00000002U01	
R3TR	FRM	Forms	SSFO	SAP Smart Form	ZMM_MRO_PO_BRAZIL				ZFI	EHP6 FOR SAP ERP 6.0	/1BCDWB/SAPLSF00000003	/1BCDWB/LSF00000003U01	
R3TR	FRM	Forms	SSFO	SAP Smart Form	ZFI_IC_CUSTOMER_STATEMENT				ZFI	EHP6 FOR SAP ERP 6.0	/1BCDWB/SAPLSF00000004	/1BCDWB/LSF00000004U01	
R3TR	FRM	Forms	SSFO	SAP Smart Form	ZFI_CUSTOMER_STATEMENT_NA				ZFI	EHP6 FOR SAP ERP 6.0	/1BCDWB/SAPLSF00000006	/1BCDWB/LSF00000006U01	
R3TR	FRM	Forms	SSFO	SAP Smart Form	ZFI_CUSTOMER_STATEMENT_CA				ZFI	EHP6 FOR SAP ERP 6.0	/1BCDWB/SAPLSF00000007	/1BCDWB/LSF00000007U01	
R3TR	FRM	Forms	SSFO	SAP Smart Form	ZCUST_CONTACT_11				ZFI	EHP6 FOR SAP ERP 6.0			
R3TR	FRM	Forms	SSFO	SAP Smart Form	ZCUST_REMIT_4				ZFI	EHP6 FOR SAP ERP 6.0			
R3TR	FRM	Forms	SSFO	SAP Smart Form	ZCUST_DIV_3				ZFI	EHP6 FOR SAP ERP 6.0			
R3TR	FRM	Forms	SSFO	SAP Smart Form	ZCUST_PASTDUE_10				ZFI	EHP6 FOR SAP ERP 6.0			
R3TR	FRM	Forms	SSFO	SAP Smart Form	ZCUST_REMIT_5				ZFI_NA_SMARTFORMS	EHP6 FOR SAP ERP 6.0			
R3TR	FRM	Forms	SSFO	SAP Smart Form	ZFIAR_CUST_ACCT_NO				ZFI_NA_SMARTFORMS	EHP6 FOR SAP ERP 6.0			
R3TR	FRM	Forms	SSFO	SAP Smart Form	ZFIAR_CUST_CONTACT				ZFI_NA_SMARTFORMS	EHP6 FOR SAP ERP 6.0			
R3TR	FRM	Forms	SSFO	SAP Smart Form	ZCUST_AMOUNT_9				ZFI	EHP6 FOR SAP ERP 6.0			
R3TR	FRM	Forms	SSFO	SAP Smart Form	ZCUST_DATE_2				ZFI	EHP6 FOR SAP ERP 6.0			
R3TR	FRM	Forms	SSFO	SAP Smart Form	ZCUST_DATE_7				ZFI	EHP6 FOR SAP ERP 6.0			
R3TR	FRM	Forms	SSFO	SAP Smart Form	ZCUST_DATE_8				ZFI	EHP6 FOR SAP ERP 6.0			
R3TR	FRM	Forms	SSFO	SAP Smart Form	ZCUST_DESC_5				ZFI	EHP6 FOR SAP ERP 6.0			
R3TR	FRM	Forms	FORM	SAPscript form	ZFI_CHECK_US				ZFI_NA_SMARTFORMS	EHP6 FOR SAP ERP 6.0			
R3TR	FRM	Forms	FORM	SAPscript form	ZFI_CHECK_FND				ZFI_NA_SMARTFORMS	EHP6 FOR SAP ERP 6.0			
R3TR	FRM	Forms	FORM	SAPscript form	ZFI_CHECK_CA_CB				ZFI_NA_SMARTFORMS	EHP6 FOR SAP ERP 6.0			
R3TR	FRM	Forms	FORM	SAPscript form	ZFI_CHECK_CA				ZFI_NA_SMARTFORMS	EHP6 FOR SAP ERP 6.0			
R3TR	FRM	Forms	FORM	SAPscript form	ZF140_INT_MEX_01				ZFI	EHP6 FOR SAP ERP 6.0			
R3TR	FRM	Forms	FORM	SAPscript form	ZCHECKMEX				ZFI	EHP6 FOR SAP ERP 6.0			
R3TR	FRM	Forms	FORM	SAPscript form	Z_PRENUM_CHCK_US				ZFI	EHP6 FOR SAP ERP 6.0			
R3TR	FRM	Forms	FORM	SAPscript form	Z_PRENUM_CHCK_MX				ZFI	EHP6 FOR SAP ERP 6.0			
R3TR	FRM	Forms	FORM	SAPscript form	ZFI_CHECK_US_CA				ZFI	EHP6 FOR SAP ERP 6.0			
R3TR	FRM	Forms	FORM	SAPscript form	ZFI_REMADV_CA				ZFI_NA_SMARTFORMS	EHP6 FOR SAP ERP 6.0			
R3TR	FRM	Forms	FORM	SAPscript form	ZFI_REMADV_US				ZFI_NA_SMARTFORMS	EHP6 FOR SAP ERP 6.0			
R3TR	FRM	Forms	FORM	SAPscript form	Z_F110_MX_AVIS				ZFI	EHP6 FOR SAP ERP 6.0			
