PROGTYPE	OBJTYPE	OBJDESC	SUBOBJ	SUBOBJDESC	OBJNAME	OBJTEXT	APPLN	FRICETYPE	PACKAGE	SYSNAME	MAINPROG	INCL	REFOBJTYP
Program type	Obj Type	Obj Desc.	Sub-Obj Type	Sub-Obj Desc.	Object Name	Object Desc.	Application Name	Frice Type	Package	Sys Name	Main Program	Include Name	Ref. Obj. Type
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZCL_IM_ZBBP_DOC_CHECK_BADI	Imp. class for BAdI imp. ZZBBP_DOC_CHECK_BADI		E	ZPR	SRM 4.00			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZCL_IM__BBP_CHANGE_SF_SC	Imp. class for BAdI imp. ZBBP_CHANGE_SF_SC		E	ZABP	SRM 4.00			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZCL_IM_BBP_CREATE_REQ_BACK	Imp. class for BAdI imp. ZBBP_CREATE_REQ_BACK		E	ZZZZ	SRM 4.00			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZCL_IM_BBP_CREATE_PO_BACK	Imp. class for BAdI imp. ZBBP_CREATE_PO_BACK		E	ZZZZ	SRM 4.00			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZCL_IM_BBP_CONF_RESTRICT	Imp. class for BAdI imp. ZBBP_CONF_RESTRICT		E	ZABP	SRM 4.00			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZCL_IM_BBP_SC_MODIFY_UI	Imp. class for BAdI imp. ZBBP_SC_MODIFY_UI		E	ZABP	SRM 4.00			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZCL_IM_BBP_SC_TRANSFER_BE	Imp. class for BAdI imp. ZBBP_SC_TRANSFER_BE		E	ZZZZ	SRM 4.00			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZCL_IM_BBP_TAX_MAP_BADI	Imp. class for BAdI imp. ZBBP_TAX_MAP_BADI		E	ZABP	SRM 4.00			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZCL_IM_B_PREQ_CONTRACT_50K	Imp. class for BAdI imp. ZB_PREQ_CONTRACT_50K		E	ZPR	SRM 4.00			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZCL_IM_ZBBP_APPEND_ITEM	Imp. class for BAdI imp. ZZBBP_APPEND_ITEM		E	ZPR	SRM 4.00			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZCL_IM_BBP_MESSAGES_BADI	Imp. class for BAdI imp. ZBBP_MESSAGES_BADI		E	ZPR	SRM 4.00			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZCL_IM_BBP_F4_READ_ON_EXIT	Imp. class for BAdI imp. ZBBP_F4_READ_ON_EXIT		E	ZBBP	SRM 4.00			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZCL_IM_BBP_F4_MEM_UPDATE	Imp. class for BAdI imp. ZBBP_F4_MEM_UPDATE		E	ZBBP	SRM 4.00			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZCL_IM_BBP_DOC_CHANGE_BADI	Imp. class for BAdI imp. ZBBP_DOC_CHANGE_BADI		E	ZABP	SRM 4.00			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZCL_IM_BBP_CUF_BADI_2	Imp. class for BAdI imp. ZBBP_CUF_BADI_2		E	ZABP	SRM 4.00			
R3TR	OTH	Others	DEVC	Package	ZFI				ZFI	SRM 4.00			
R3TR	OTH	Others	DEVC	Package	ZPR				ZPR	SRM 4.00			
R3TR	OTH	Others	DEVC	Package	ZSUPPORT				ZSUPPORT	SRM 4.00			
R3TR	OTH	Others	DEVC	Package	ZTID				ZTID	SRM 4.00			
R3TR	OTH	Others	DEVC	Package	ZZZZ				ZZZZ	SRM 4.00			
R3TR	OTH	Others	DEVC	Package	ZBBP				ZBBP	SRM 4.00			
R3TR	OTH	Others	DEVC	Package	ZBC				ZBC	SRM 4.00			
R3TR	OTH	Others	DEVC	Package	ZABP				ZABP	SRM 4.00			
R3TR	OTH	Others	FUGR	Function Group	ZBBP_BD_DRIVER_470		Basis		ZABP	SRM 4.00			
R3TR	OTH	Others	FUGR	Function Group	ZZEN00003		Basis		ZPR	SRM 4.00			
R3TR	OTH	Others	FUGR	Function Group	ZV01		Basis		ZABP	SRM 4.00			
R3TR	OTH	Others	FUGR	Function Group	ZUTILS		Basis		ZPR	SRM 4.00			
R3TR	OTH	Others	FUGR	Function Group	ZM01		Basis		ZABP	SRM 4.00			
R3TR	OTH	Others	FUGR	Function Group	ZBBP_PLM		Basis		ZBBP	SRM 4.00			
R3TR	OTH	Others	FUGR	Function Group	Z_TIDAL_SAP_CHANNEL_XT01		Basis		ZTID	SRM 4.00			
R3TR	OTH	Others	FUGR	Function Group	Z_TIDAL_SAP_CHANNEL		Basis		ZTID	SRM 4.00			
R3TR	OTH	Others	FUGR	Function Group	ZZSWAPOTYP	SWA PO Types	Basis		ZZZZ	SRM 4.00			
R3TR	OTH	Others	FUGR	Function Group	ZZREQLIMIT		Basis		ZFI	SRM 4.00			
R3TR	OTH	Others	FUGR	Function Group	ZZR3CONNECTCART		Basis		ZBBP	SRM 4.00			
R3TR	OTH	Others	FUGR	Function Group	ZZEN00074		Basis		ZBBP	SRM 4.00			
R3TR	OTH	Others	METH	Method (ABAP Objects)	IF_EX_BBP_CREATE_PO_BACK~FILL_PO_CREATE1			E	ZZZZ	SRM 4.00	ZCL_IM_BBP_CREATE_PO_BACK	ZCL_IM_BBP_CREATE_PO_BACK=====CM002	
R3TR	OTH	Others	METH	Method (ABAP Objects)	IF_EX_BBP_WF_LIST~BBP_WF_LIST			E	ZABP	SRM 4.00	ZCL_IM_BBP_CONF_RESTRICT	ZCL_IM_BBP_CONF_RESTRICT======CM001	
R3TR	OTH	Others	METH	Method (ABAP Objects)	IF_EX_BBP_WF_LIST~BBP_WF_LIST_SOCO			E	ZABP	SRM 4.00	ZCL_IM_BBP_CONF_RESTRICT	ZCL_IM_BBP_CONF_RESTRICT======CM002	
R3TR	OTH	Others	METH	Method (ABAP Objects)	IF_EX_BBP_DOC_CHANGE_BADI~BBP_SUSCF_CHAN			E	ZABP	SRM 4.00	ZCL_IM_BBP_DOC_CHANGE_BADI	ZCL_IM_BBP_DOC_CHANGE_BADI====CM00E	
R3TR	OTH	Others	METH	Method (ABAP Objects)	IF_EX_BBP_F4_READ_ON_EXIT~GET_SDDOC			E	ZBBP	SRM 4.00	ZCL_IM_BBP_F4_READ_ON_EXIT	ZCL_IM_BBP_F4_READ_ON_EXIT====CM017	
R3TR	OTH	Others	METH	Method (ABAP Objects)	IF_EX_BBP_CREATE_PO_BACK~FILL_PO_INTERFA			E	ZZZZ	SRM 4.00	ZCL_IM_BBP_CREATE_PO_BACK	ZCL_IM_BBP_CREATE_PO_BACK=====CM001	
R3TR	OTH	Others	METH	Method (ABAP Objects)	IF_EX_BBP_F4_READ_ON_EXIT~GET_ROLE			E	ZBBP	SRM 4.00	ZCL_IM_BBP_F4_READ_ON_EXIT	ZCL_IM_BBP_F4_READ_ON_EXIT====CM00P	
R3TR	OTH	Others	METH	Method (ABAP Objects)	IF_EX_BBP_F4_READ_ON_EXIT~GET_RFC_LOGS			E	ZBBP	SRM 4.00	ZCL_IM_BBP_F4_READ_ON_EXIT	ZCL_IM_BBP_F4_READ_ON_EXIT====CM00L	
R3TR	OTH	Others	METH	Method (ABAP Objects)	IF_EX_BBP_F4_READ_ON_EXIT~GET_REGION			E	ZBBP	SRM 4.00	ZCL_IM_BBP_F4_READ_ON_EXIT	ZCL_IM_BBP_F4_READ_ON_EXIT====CM002	
R3TR	OTH	Others	METH	Method (ABAP Objects)	IF_EX_BBP_F4_READ_ON_EXIT~GET_CURRENCY			E	ZBBP	SRM 4.00	ZCL_IM_BBP_F4_READ_ON_EXIT	ZCL_IM_BBP_F4_READ_ON_EXIT====CM001	
R3TR	OTH	Others	METH	Method (ABAP Objects)	IF_EX_BBP_F4_READ_ON_EXIT~GET_COUNTRY			E	ZBBP	SRM 4.00	ZCL_IM_BBP_F4_READ_ON_EXIT	ZCL_IM_BBP_F4_READ_ON_EXIT====CM003	
R3TR	OTH	Others	METH	Method (ABAP Objects)	IF_EX_BBP_F4_READ_ON_EXIT~GET_COSTCENT			E	ZBBP	SRM 4.00	ZCL_IM_BBP_F4_READ_ON_EXIT	ZCL_IM_BBP_F4_READ_ON_EXIT====CM010	
R3TR	OTH	Others	METH	Method (ABAP Objects)	IF_EX_BBP_F4_READ_ON_EXIT~GET_COMPCODE			E	ZBBP	SRM 4.00	ZCL_IM_BBP_F4_READ_ON_EXIT	ZCL_IM_BBP_F4_READ_ON_EXIT====CM01C	
R3TR	OTH	Others	METH	Method (ABAP Objects)	IF_EX_BBP_F4_READ_ON_EXIT~GET_COMMITEM			E	ZBBP	SRM 4.00	ZCL_IM_BBP_F4_READ_ON_EXIT	ZCL_IM_BBP_F4_READ_ON_EXIT====CM01I	
R3TR	OTH	Others	METH	Method (ABAP Objects)	IF_EX_BBP_F4_MEM_UPDATE~UPD_PAYMTERM			E	ZBBP	SRM 4.00	ZCL_IM_BBP_F4_MEM_UPDATE	ZCL_IM_BBP_F4_MEM_UPDATE======CM00G	
R3TR	OTH	Others	METH	Method (ABAP Objects)	IF_EX_BBP_F4_MEM_UPDATE~UPD_PAYMENT			E	ZBBP	SRM 4.00	ZCL_IM_BBP_F4_MEM_UPDATE	ZCL_IM_BBP_F4_MEM_UPDATE======CM01L	
R3TR	OTH	Others	METH	Method (ABAP Objects)	IF_EX_BBP_F4_READ_ON_EXIT~GET_QMSYSTEM			E	ZBBP	SRM 4.00	ZCL_IM_BBP_F4_READ_ON_EXIT	ZCL_IM_BBP_F4_READ_ON_EXIT====CM00B	
R3TR	OTH	Others	METH	Method (ABAP Objects)	IF_EX_BBP_F4_READ_ON_EXIT~GET_PCARD			E	ZBBP	SRM 4.00	ZCL_IM_BBP_F4_READ_ON_EXIT	ZCL_IM_BBP_F4_READ_ON_EXIT====CM008	
R3TR	OTH	Others	METH	Method (ABAP Objects)	IF_EX_BBP_F4_READ_ON_EXIT~GET_PAYMTERM			E	ZBBP	SRM 4.00	ZCL_IM_BBP_F4_READ_ON_EXIT	ZCL_IM_BBP_F4_READ_ON_EXIT====CM00J	
R3TR	OTH	Others	METH	Method (ABAP Objects)	IF_EX_BBP_F4_READ_ON_EXIT~GET_PAYMENT			E	ZBBP	SRM 4.00	ZCL_IM_BBP_F4_READ_ON_EXIT	ZCL_IM_BBP_F4_READ_ON_EXIT====CM01O	
R3TR	OTH	Others	METH	Method (ABAP Objects)	IF_EX_BBP_F4_READ_ON_EXIT~GET_ORDERNO			E	ZBBP	SRM 4.00	ZCL_IM_BBP_F4_READ_ON_EXIT	ZCL_IM_BBP_F4_READ_ON_EXIT====CM016	
R3TR	OTH	Others	METH	Method (ABAP Objects)	IF_EX_BBP_F4_READ_ON_EXIT~GET_OPI_CATALO			E	ZBBP	SRM 4.00	ZCL_IM_BBP_F4_READ_ON_EXIT	ZCL_IM_BBP_F4_READ_ON_EXIT====CM01N	
R3TR	OTH	Others	METH	Method (ABAP Objects)	IF_EX_BBP_F4_READ_ON_EXIT~GET_NETWORK			E	ZBBP	SRM 4.00	ZCL_IM_BBP_F4_READ_ON_EXIT	ZCL_IM_BBP_F4_READ_ON_EXIT====CM014	
R3TR	OTH	Others	METH	Method (ABAP Objects)	IF_EX_BBP_F4_READ_ON_EXIT~GET_NAMEFORM			E	ZBBP	SRM 4.00	ZCL_IM_BBP_F4_READ_ON_EXIT	ZCL_IM_BBP_F4_READ_ON_EXIT====CM00A	
R3TR	OTH	Others	METH	Method (ABAP Objects)	IF_EX_BBP_F4_READ_ON_EXIT~GET_LOGSYS			E	ZBBP	SRM 4.00	ZCL_IM_BBP_F4_READ_ON_EXIT	ZCL_IM_BBP_F4_READ_ON_EXIT====CM00M	
R3TR	OTH	Others	METH	Method (ABAP Objects)	IF_EX_BBP_F4_READ_ON_EXIT~GET_TAXGROUP			E	ZBBP	SRM 4.00	ZCL_IM_BBP_F4_READ_ON_EXIT	ZCL_IM_BBP_F4_READ_ON_EXIT====CM00I	
R3TR	OTH	Others	METH	Method (ABAP Objects)	IF_EX_BBP_F4_READ_ON_EXIT~GET_TAXCODE			E	ZBBP	SRM 4.00	ZCL_IM_BBP_F4_READ_ON_EXIT	ZCL_IM_BBP_F4_READ_ON_EXIT====CM00N	
R3TR	OTH	Others	METH	Method (ABAP Objects)	IF_EX_BBP_F4_READ_ON_EXIT~GET_STORAGE			E	ZBBP	SRM 4.00	ZCL_IM_BBP_F4_READ_ON_EXIT	ZCL_IM_BBP_F4_READ_ON_EXIT====CM01E	
R3TR	OTH	Others	METH	Method (ABAP Objects)	IF_EX_BBP_F4_READ_ON_EXIT~GET_UNIT			E	ZBBP	SRM 4.00	ZCL_IM_BBP_F4_READ_ON_EXIT	ZCL_IM_BBP_F4_READ_ON_EXIT====CM00E	
R3TR	OTH	Others	METH	Method (ABAP Objects)	IF_EX_BBP_F4_READ_ON_EXIT~GET_VENDOR			E	ZBBP	SRM 4.00	ZCL_IM_BBP_F4_READ_ON_EXIT	ZCL_IM_BBP_F4_READ_ON_EXIT====CM01F	
R3TR	OTH	Others	METH	Method (ABAP Objects)	IF_EX_BBP_F4_MEM_UPDATE~UPD_COMPCODE			E	ZBBP	SRM 4.00	ZCL_IM_BBP_F4_MEM_UPDATE	ZCL_IM_BBP_F4_MEM_UPDATE======CM019	
R3TR	OTH	Others	METH	Method (ABAP Objects)	IF_EX_BBP_DOC_CHANGE_BADI~BBP_SUSPCO_CHA			E	ZABP	SRM 4.00	ZCL_IM_BBP_DOC_CHANGE_BADI	ZCL_IM_BBP_DOC_CHANGE_BADI====CM009	
R3TR	OTH	Others	METH	Method (ABAP Objects)	IF_EX_BBP_DOC_CHANGE_BADI~BBP_SUSINV_CHA			E	ZABP	SRM 4.00	ZCL_IM_BBP_DOC_CHANGE_BADI	ZCL_IM_BBP_DOC_CHANGE_BADI====CM00C	
R3TR	OTH	Others	METH	Method (ABAP Objects)	IF_EX_BBP_F4_READ_ON_EXIT~GET_SDDOCPOS			E	ZBBP	SRM 4.00	ZCL_IM_BBP_F4_READ_ON_EXIT	ZCL_IM_BBP_F4_READ_ON_EXIT====CM018	
