PROGTYPE	OBJTYPE	OBJDESC	SUBOBJ	SUBOBJDESC	OBJNAME	OBJTEXT	APPLN	FRICETYPE	PACKAGE	SYSNAME	MAINPROG	INCL	REFOBJTYP
Program type	Obj Type	Obj Desc.	Sub-Obj Type	Sub-Obj Desc.	Object Name	Object Desc.	Application Name	Frice Type	Package	Sys Name	Main Program	Include Name	Ref. Obj. Type
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZSD_SICL_SI_SALES_ORDER_IB_SL	Generated test implementation			Z001	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZSD_SICO_SI_TMCAORDER_FILE_OB	Proxy Class (generated)			Z001	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZSD_TLMSCL_SI_TIMELINE_DATA_IB	Generated test implementation			Z001	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZSD_TMAPCL_SI_TMAPORDER_IB_SL	Generated test implementation			Z001	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZCL_UPL_INTEGRATION	UPL Integration			ZSPAU	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZCL_SPAU_UPL_DATA_WRITER	UPL data container			ZSPAU	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZCL_SPAU_UI_INFO_PROVIDER	SPAU texts			ZSPAU	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZCL_SPAU_PROTOCOL	SPAU Protocol			ZSPAU	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZCL_SPAU_SETTINGS	SPAU Settings			ZSPAU	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZCL_ABAP_COMP_TABLE_WITH_HEA	CL_ABAP_COMPILER : type			ZHANA_SCI	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZCL_SPAU_PROCESSOR_WITH_MODASS	Adjust objects with modification assistent			ZSPAU	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZCL_SPAU_PROCESSOR_WO_MODASS	Without Modass			ZSPAU	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZUPD_S4CL_YCM_MODIF_REFS	Custom Code Management: Obtain modification references			ZUPD_SYCM	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZUPD_S4CL_YCM_UTILITY	Custom Code Management: Utility Class			ZUPD_SYCM	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZUPD_S4CX_YCM_ANALYSIS	Exception during custom code analysis			ZUPD_SYCM	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	Z_UPGRADE_UTILITIES	Upgrade Utilities Class			ZUPD_SD	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZCL_ABAP_COMP_TYPE	CL_ABAP_COMPILER : type			ZHANA_SCI	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZCL_ABAP_COMP_TABLE_WITH_HEAD	CL_ABAP_COMPILER : type			ZHANA_SCI	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZCX_SPAU_ROOT_STATIC	SPAU Exceptions			ZSPAU	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZCX_YCM_PERSIST_DUPLICATE_KEY	Duplicate key Exception			ZUPD_SYCM	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZCX_SPAU_OBJECT_PROCESSING	Error during object processing			ZSPAU	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZSD_ORD_INTCO_SI_OPEN_ORDERS_O	Proxy Class (generated)			Z001	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZSD_MSECO_SI_PRICING_DATA_OB_S	Proxy Class (generated)			Z001	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZSD_FORECASTCO_SI_FORECAST_DAT	Proxy Class (generated)			Z001	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZSDCO_SI_CUSTOMER_INVOICE_TMAP	Proxy Class (generated)			Z001	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZPP_COE_CL_MAIN	Main class for PP CoE			ZUPD_DEL_PP	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZMM_VPACSCL_SI_PACKAGING_DETAI	Generated test implementation			Z001	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZMM_PO_INTVENDORCO_SI_VENDOR_P	Proxy Class (generated)			Z001	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZMM_PO_INTCO_SI_PURCHASE_ORDER	Proxy Class (generated)			Z001	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZMM_IPCO_SI_MATERIAL_DETAILS_O	Proxy Class (generated)			Z001	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZMM_IPCL_SI_MATERIAL_FOREIGN_T	Generated test implementation			Z001	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZMM_GR_INTCL_SI_GOODS_RECEIPT	Generated test implementation			Z001	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZMM_GI_INTCL_SI_POST_GOODS_ISS	Generated test implementation			Z001	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZMMCO_SI_KANBAN_FORECAST_DATA	Proxy Class (generated)			Z001	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZFI_VEND_REMCO_SI_PAYMENT_ADVI	Proxy Class (generated)			Z001	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZFI_VENDORCL_SI_VENDOR_DATA_IB	Generated test implementation			Z001	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZFI_POS_PAY_INTCO_SI_ACCOUNTS	Proxy Class (generated)			Z001	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZFI_JE_PROXYCO_SI_GLACCOUNTING	Proxy Class (generated)			Z001	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZFI_ACH_INTCO_SI_ACCOUNTS_CHEC	Proxy Class (generated)			Z001	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZFICO_SI_CUSTOMER_INVOICE_OB_S	Proxy Class (generated)			Z001	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZFICO_SI_ARBILLING_OB_SL	Proxy Class (generated)			Z001	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZCL_IM__SHP_TAB_CUST_HEAD	Imp. class for BAdI imp. Z_SHP_TAB_CUST_HEAD		E	Z001	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZCX_SPAU_OBJECT_HANDLING	Exception in context with object handling			ZSPAU	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZCL_ABAP_COMP_VALUE_TYPE	CL_ABAP_COMPILER: Objectype			ZHANA_SCI	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZCL_CI_SCAN	Code Inspector: Generate Source for SCAN			ZHANA_SCI	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZCL_CI_TEST_ABAP_COMPILER	Code Inspector: Source for Include.			ZHANA_SCI	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZCL_CI_TEST_ABAP_COMP_PROCS	Code Inspector: Test Based on CL_ABAP_COMP_PROCS			ZHANA_SCI	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZCL_DYNP_COMPILER	Test			ZHANA_SCI	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZCL_ABAP_COMPILER	Cross Reference of an ABAP Program			ZHANA_SCI	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZCL_ABAP_COMPILER_AREA	CL_ABAP_COMPILER_AREA			ZHANA_SCI	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZCL_ABAP_COMPILER_DATA	Root class			ZHANA_SCI	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZCL_ABAP_COMP_ALIAS_DATA	Symbol: Alias Data			ZHANA_SCI	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZCL_ABAP_COMP_ALIAS_TYPE	Symbol: Reference Type			ZHANA_SCI	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZCL_ABAP_COMP_CLASS	CL_ABAP_COMPILER: Class			ZHANA_SCI	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZCL_ABAP_COMP_COMPLEX_TYPE	Complex Type			ZHANA_SCI	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZCL_ABAP_COMP_DATA	CL_ABAP_COMPILER :  Data Object			ZHANA_SCI	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZCL_ABAP_COMP_DATA_GENERIC	CL_ABAP_COMPILER : type			ZHANA_SCI	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZCL_ABAP_COMP_ENHANCE_IMPL				ZHANA_SCI	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZCL_ABAP_COMP_EVENT				ZHANA_SCI	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZCL_ABAP_COMP_METHOD	Used in CL_ABAP_COMPILER			ZHANA_SCI	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZCL_ABAP_COMP_OBJECT	CL_ABAP_COMPILER: Objectype			ZHANA_SCI	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZCL_ABAP_COMP_PROCS	Split to Procedures			ZHANA_SCI	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZUPD_S4CL_YCM_ANALYZE_CEX_REFS	Analyse old enhancement techniques (CMOD/SXCI)			ZUPD_SYCM	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZUPD_S4CL_YCM_ANALYSE_ENH_REFS	References in customer enhancements			ZUPD_SYCM	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZSD_WATERFALLCO_SI_FIRM_FORECA	Proxy Class (generated)			Z001	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZSD_WATERFALLCL_SI_WATERFALL_D	Generated test implementation			Z001	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZSD_WARPCL_SI_PURCHASE_INFO_IB	Generated test implementation			Z001	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZCL_IM__SHP_TAB_CUST_ITEM	Imp. class for BAdI imp. Z_SHP_TAB_CUST_ITEM		E	Z001	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZCL_SET_GET	to set and get parameters			Z001	SAP ECC 6.0			
R3TR	OTH	Others	CLAS	Class (ABAP Objects)	ZCL_SPAU_HOUSEKEEPING	Housekeeping data			ZSPAU	SAP ECC 6.0			
