PROGTYPE	OBJTYPE	OBJDESC	SUBOBJ	SUBOBJDESC	OBJNAME	OBJTEXT	APPLN	FRICETYPE	PACKAGE	SYSNAME	MAINPROG	INCL	REFOBJTYP
Program type	Obj Type	Obj Desc.	Sub-Obj Type	Sub-Obj Desc.	Object Name	Object Desc.	Application Name	Frice Type	Package	Sys Name	Main Program	Include Name	Ref. Obj. Type
R3TR	PROG	Programs	INCL	Includes	LZBBP_PLMF03		Basis		ZBBP	SRM 4.00	SAPLZBBP_PLM		
R3TR	PROG	Programs	INCL	Includes	LZBBP_PLMF04		Basis		ZBBP	SRM 4.00	SAPLZBBP_PLM		
R3TR	PROG	Programs	INCL	Includes	LZBBP_PLMF05		Basis		ZBBP	SRM 4.00	SAPLZBBP_PLM		
R3TR	PROG	Programs	INCL	Includes	LZBBP_PLMTOP		Basis		ZBBP	SRM 4.00	SAPLZBBP_PLM		
R3TR	PROG	Programs	INCL	Includes	LZZREQLIMITTOP		Basis		ZFI	SRM 4.00	SAPLZZREQLIMIT		
R3TR	PROG	Programs	INCL	Includes	LZZREQLIMITF00		Basis		ZFI	SRM 4.00	SAPLZZREQLIMIT		
R3TR	PROG	Programs	INCL	Includes	LZZREQLIMITFXX		Basis		ZFI	SRM 4.00	SAPLZZREQLIMIT		
R3TR	PROG	Programs	INCL	Includes	LZZREQLIMITI00		Basis		ZFI	SRM 4.00	SAPLZZREQLIMIT		
R3TR	PROG	Programs	INCL	Includes	LZBBP_PLMF02		Basis		ZBBP	SRM 4.00	SAPLZBBP_PLM		
R3TR	PROG	Programs	INCL	Includes	LZBBP_PLMF01		Basis		ZBBP	SRM 4.00	SAPLZBBP_PLM		
R3TR	PROG	Programs	INCL	Includes	LZM01TOP		Basis		ZABP	SRM 4.00	SAPLZM01		
R3TR	PROG	Programs	INCL	Includes	LZM01F01		Basis		ZABP	SRM 4.00	SAPLZM01		
R3TR	PROG	Programs	INCL	Includes	ZMS01CW06		Basis		ZABP	SRM 4.00			
R3TR	PROG	Programs	INCL	Includes	ZMS01CW05		Basis		ZABP	SRM 4.00			
R3TR	PROG	Programs	INCL	Includes	ZINC_ORG_USER	Include ZINC_ORG_USER	Materials management		ZPR	SRM 4.00			
R3TR	PROG	Programs	INCL	Includes	ZVR_IDOC_STAT1000_FORMS	Include ZVR_IDOC_STAT1000_FORMS	Basis		ZABP	SRM 4.00			
R3TR	PROG	Programs	INCL	Includes	LZUTILSI00		Basis		ZPR	SRM 4.00	SAPLZUTILS		
R3TR	PROG	Programs	INCL	Includes	LZUTILSTOP		Basis		ZPR	SRM 4.00	SAPLZUTILS		
R3TR	PROG	Programs	INCL	Includes	LZV01TOP		Basis		ZABP	SRM 4.00	SAPLZV01		
R3TR	PROG	Programs	INCL	Includes	ZVR_IDOC_STAT_TOP	Include ZVR_IDOC_STAT_TOP	Sales		ZABP	SRM 4.00			
R3TR	PROG	Programs	INCL	Includes	ZVR_IDOC_STAT_FORMS	Include ZVR_IDOC_STAT_FORMS	Sales		ZABP	SRM 4.00			
R3TR	PROG	Programs	INCL	Includes	LZUTILSF00		Basis		ZPR	SRM 4.00	SAPLZUTILS		
R3TR	PROG	Programs	INCL	Includes	LZBBP_BD_DRIVER_470F01		Basis		ZABP	SRM 4.00	SAPLZBBP_BD_DRIVER_470		
R3TR	PROG	Programs	INCL	Includes	LZBBP_BD_DRIVER_470TOP		Basis		ZABP	SRM 4.00	SAPLZBBP_BD_DRIVER_470		
R3TR	PROG	Programs	INCL	Includes	LZZEN00003TOP		Basis		ZPR	SRM 4.00	SAPLZZEN00003		
