PROGTYPE	OBJTYPE	OBJDESC	SUBOBJ	SUBOBJDESC	OBJNAME	OBJTEXT	APPLN	FRICETYPE	PACKAGE	SYSNAME	MAINPROG	INCL	REFOBJTYP
Program type	Obj Type	Obj Desc.	Sub-Obj Type	Sub-Obj Desc.	Object Name	Object Desc.	Application Name	Frice Type	Package	Sys Name	Main Program	Include Name	Ref. Obj. Type
R3TR	PROG	Programs	INCL	Includes	ZSD_NSSRP_EAO_F01	Include ZSD_NSSRP_EAO_F01			Z001	SAP ECC 6.0			
R3TR	PROG	Programs	INCL	Includes	ZSD_NSSRP_EAO_TOP	Include ZSD_NSSRP_EAO_TOP			Z001	SAP ECC 6.0			
R3TR	PROG	Programs	INCL	Includes	ZSD_NSSRP_REPORT_GET_DATAF01	Include ZSD_NSSRP_REPORT_GET_DATAF01			Z001	SAP ECC 6.0			
R3TR	PROG	Programs	INCL	Includes	ZSD_NSSRP_REPORT_TOP	Include ZSD_NSSRP_REPORT_TOP			Z001	SAP ECC 6.0			
R3TR	PROG	Programs	INCL	Includes	ZSD_NSSRP_UTILITY_F01	Include ZSD_NSSRP_UTILITY_F01			Z001	SAP ECC 6.0			
R3TR	PROG	Programs	INCL	Includes	ZSD_NSSRP_UTILITY_TOP	Include ZSD_NSSRP_UTILITY_TOP			Z001	SAP ECC 6.0			
R3TR	PROG	Programs	INCL	Includes	ZSD_REPLACEMENT_ORDER_TOP	Include ZSD_REPLACEMENT_ORDER_TOP			Z001	SAP ECC 6.0			
R3TR	PROG	Programs	INCL	Includes	ZSD_ZSOPOQUERY_TOP	Include ZSD_ZSOPOQUERY_TOP			Z001	SAP ECC 6.0			
R3TR	PROG	Programs	INCL	Includes	LZFG_OPEN_ORDERTOP		Basis		Z001	SAP ECC 6.0	SAPLZFG_OPEN_ORDER		
R3TR	PROG	Programs	INCL	Includes	LZFG_OPEN_ORDERF01		Basis		Z001	SAP ECC 6.0	SAPLZFG_OPEN_ORDER		
R3TR	PROG	Programs	INCL	Includes	LZFG_PWDRESETF00		Basis		Z001	SAP ECC 6.0	SAPLZFG_PWDRESET		
R3TR	PROG	Programs	INCL	Includes	LZFG_PWDRESETF01		Basis		Z001	SAP ECC 6.0	SAPLZFG_PWDRESET		
R3TR	PROG	Programs	INCL	Includes	LZFG_PWDRESETI00		Basis		Z001	SAP ECC 6.0	SAPLZFG_PWDRESET		
R3TR	PROG	Programs	INCL	Includes	LZFG_PWDRESETTOP		Basis		Z001	SAP ECC 6.0	SAPLZFG_PWDRESET		
R3TR	PROG	Programs	INCL	Includes	LZFI_DATATOP		Basis		Z001	SAP ECC 6.0	SAPLZFI_DATA		
R3TR	PROG	Programs	INCL	Includes	LZFI_PP_INVF00		Basis		Z001	SAP ECC 6.0	SAPLZFI_PP_INV		
R3TR	PROG	Programs	INCL	Includes	LZFI_PP_INVI00		Basis		Z001	SAP ECC 6.0	SAPLZFI_PP_INV		
R3TR	PROG	Programs	INCL	Includes	LZFI_PP_INVTOP		Basis		Z001	SAP ECC 6.0	SAPLZFI_PP_INV		
R3TR	PROG	Programs	INCL	Includes	LZMM_BACKLOG_CALF00		Basis		Z001	SAP ECC 6.0	SAPLZMM_BACKLOG_CAL		
R3TR	PROG	Programs	INCL	Includes	LZMM_BACKLOG_CALF01		Basis		Z001	SAP ECC 6.0	SAPLZMM_BACKLOG_CAL		
R3TR	PROG	Programs	INCL	Includes	LZMM_BACKLOG_CALI00		Basis		Z001	SAP ECC 6.0	SAPLZMM_BACKLOG_CAL		
R3TR	PROG	Programs	INCL	Includes	ZSD_MISSING_PRICE_TOP	Include ZSD_MISSING_PRICE_TOP			Z001	SAP ECC 6.0			
