PROGTYPE	OBJTYPE	OBJDESC	SUBOBJ	SUBOBJDESC	OBJNAME	OBJTEXT	APPLN	FRICETYPE	PACKAGE	SYSNAME	MAINPROG	INCL	LINNO	ERRORMSG	SEVERITY	COMPLEXITY	RULNAME	REFOBJTYP
R3TR	PROG	Program	PROG	Program	ZTEST2_C01	HANA tests			ZHANA_TESTS	SAP ECC 6.0	ZTEST2		000011	No reads performed on internal table LT_ITAB.	1	1	SELECT-STATEMENT CAN BE TRANSFORMED.	PROG
R3TR	PROG	Program	PROG	Program	ZTEST2_C01	HANA tests			ZHANA_TESTS	SAP ECC 6.0	ZTEST2		000012	Existence check. No fields used	1	1	EXISTENCE CHECK. NO FIELDS USED	PROG
R3TR	PROG	Program	PROG	Program	ZTEST2_C01	HANA tests			ZHANA_TESTS	SAP ECC 6.0	ZTEST2		000012	NonLocal Nested Reading DB OP (SELECT) found	1	1	NONLOCAL NESTED READING DB OP 	PROG
R3TR	PROG	Program	PROG	Program	ZTEST2_C01	HANA tests			ZHANA_TESTS	SAP ECC 6.0	ZTEST2		000012	NonLocal Nested SELECT found	1	1	NONLOCAL NESTED SELECT FOUND	PROG
R3TR	PROG	Program	PROG	Program	ZTEST2_F01	HANA tests			ZHANA_TESTS	SAP ECC 6.0	ZTEST2		000024	No reads performed on internal table LT_ITAB.	1	1	SELECT-STATEMENT CAN BE TRANSFORMED.	PROG
R3TR	PROG	Program	PROG	Program	ZTEST2_F01	HANA tests			ZHANA_TESTS	SAP ECC 6.0	ZTEST2		000028	Existence check. No fields used	1	1	EXISTENCE CHECK. NO FIELDS USED	PROG
R3TR	PROG	Program	PROG	Program	ZTEST2_F01	HANA tests			ZHANA_TESTS	SAP ECC 6.0	ZTEST2		000028	Local Nested SELECT found	1	1	LOCAL NESTED SELECT FOUND	PROG
R3TR	PROG	Program	PROG	Program	ZTEST2_F01	HANA tests			ZHANA_TESTS	SAP ECC 6.0	ZTEST2		000028	SELECT in LOOP/ENDLOOP Loop	1	1	SELECT IN LOOP/ENDLOOP LOOP	PROG
R3TR	PROG	Program	PROG	Program	ZTEST2_F01	HANA tests			ZHANA_TESTS	SAP ECC 6.0	ZTEST2		000028	Simple Nested Reading DB OP (SELECT) found	1	1	SIMPLE NESTED READING DB OP	PROG
R3TR	PROG	Program	PROG	Program	ZTEST2_F01	HANA tests			ZHANA_TESTS	SAP ECC 6.0	ZTEST2		000043	No reads performed on internal table LT_ITAB.	1	1	SELECT-STATEMENT CAN BE TRANSFORMED.	PROG
R3TR	PROG	Program	PROG	Program	ZTEST2_F01	HANA tests			ZHANA_TESTS	SAP ECC 6.0	ZTEST2		000049	Existence check. No fields used	1	1	EXISTENCE CHECK. NO FIELDS USED	PROG
R3TR	PROG	Program	PROG	Program	ZTEST2_F01	HANA tests			ZHANA_TESTS	SAP ECC 6.0	ZTEST2		000049	Local Nested SELECT found	1	1	LOCAL NESTED SELECT FOUND	PROG
R3TR	PROG	Program	PROG	Program	ZTEST2_F01	HANA tests			ZHANA_TESTS	SAP ECC 6.0	ZTEST2		000049	SELECT in LOOP/ENDLOOP Loop	1	1	SELECT IN LOOP/ENDLOOP LOOP	PROG
R3TR	PROG	Program	PROG	Program	ZTEST2_F01	HANA tests			ZHANA_TESTS	SAP ECC 6.0	ZTEST2		000067	No reads performed on internal table LT_ITAB.	1	1	SELECT-STATEMENT CAN BE TRANSFORMED.	PROG
R3TR	PROG	Program	PROG	Program	ZTEST2_F01	HANA tests			ZHANA_TESTS	SAP ECC 6.0	ZTEST2		000075	Existence check. No fields used	1	1	EXISTENCE CHECK. NO FIELDS USED	PROG
R3TR	PROG	Program	PROG	Program	ZTEST2_F01	HANA tests			ZHANA_TESTS	SAP ECC 6.0	ZTEST2		000075	SELECT * FOR ALL statement can be joined with SELECT statement at Include ZTEST2_F01 line 71	1	1	SELECT * FOR ALL STATEMENT CAN BE JOINED WITH SELECT STATEMENT	PR
R3TR	PROG	Program	PROG	Program	ZTEST2_F01	HANA tests			ZHANA_TESTS	SAP ECC 6.0	ZTEST2		000098	Select-Statement can be transformed. 0.6% of fields used	1	1	SELECT-STATEMENT CAN BE TRANSFORMED.	PROG
R3TR	PROG	Program	PROG	Program	ZTEST2_F01	HANA tests			ZHANA_TESTS	SAP ECC 6.0	ZTEST2		000102	READ .. BINARY SEARCH for result of statement at Include ZTEST2_F01 line 98	1	1	READ .. BINARY SEARCH FOR RESULT OF STATEMENT	PROG
R3TR	PROG	Program	PROG	Program	ZTEST2_F01	HANA tests			ZHANA_TESTS	SAP ECC 6.0	ZTEST2		000107	LOOP AT itab. AT ... ENDAT. for result of statement at Include ZTEST2_F01 line 98	1	1	LOOP AT ITAB. AT ... ENDAT. FOR RESULT OF STATEMENT	PROG
R3TR	PROG	Program	PROG	Program	ZTEST2_F01	HANA tests			ZHANA_TESTS	SAP ECC 6.0	ZTEST2		000113	DELETE ADJACENT DUPLICATES for result of statement at Include ZTEST2_F01 line 98	1	1	DELETE ADJACENT DUPLICATES FOR RESULT OF STATEMENT	PROG
R3TR	PROG	Program	PROG	Program	ZTEST2_F01	HANA tests			ZHANA_TESTS	SAP ECC 6.0	ZTEST2		000125	No reads performed on internal table LT_BSEG.	1	1	SELECT-STATEMENT CAN BE TRANSFORMED.	PROG
R3TR	PROG	Program	PROG	Program	ZTEST2_F01	HANA tests			ZHANA_TESTS	SAP ECC 6.0	ZTEST2		000127	Existence check. No fields used	1	1	EXISTENCE CHECK. NO FIELDS USED	PROG
R3TR	PROG	Program	PROG	Program	ZTEST2_F01	HANA tests			ZHANA_TESTS	SAP ECC 6.0	ZTEST2		000127	SELECT ... FOR cluster table BSEG without ORDER BY found	1	1	SELECT ... FOR CLUSTER TABLE WITHOUT ORDER BY FOUND	PROG
