PROGTYPE	OBJTYPE	OBJDESC	SUBOBJ	SUBOBJDESC	OBJNAME	OBJTEXT	APPLN	FRICETYPE	PACKAGE	SYSNAME	MAINPROG	INCL	LINNO	ERRORMSG	SEVERITY	COMPLEXITY	RULNAME	REFOBJTYP
R3TR	PROG	Program	PROG	Program	YLSR_SEARCH_USEREXITS_BADIS	Search userexits and Badis for a transaction			ZTEST	SAP ECC 6.0	YLSR_SEARCH_USEREXITS_BADIS		13	Field string MODSAPT is not referenced statically in the program	4	3	OBJECT UNREFERENCED OR UNUSED	PROG
R3TR	PROG	Program	PROG	Program	YLSR_SEARCH_USEREXITS_BADIS	Search userexits and Badis for a transaction			ZTEST	SAP ECC 6.0	YLSR_SEARCH_USEREXITS_BADIS		14	Field string MODACT is not referenced statically in the program	4	3	OBJECT UNREFERENCED OR UNUSED	PROG
R3TR	PROG	Program	PROG	Program	YLSR_SEARCH_USEREXITS_BADIS	Search userexits and Badis for a transaction			ZTEST	SAP ECC 6.0	YLSR_SEARCH_USEREXITS_BADIS		18	Field string SXS_ATTRT is not referenced statically in the program	4	3	OBJECT UNREFERENCED OR UNUSED	PROG
R3TR	PROG	Program	PROG	Program	YLSR_SEARCH_USEREXITS_BADIS	Search userexits and Badis for a transaction			ZTEST	SAP ECC 6.0	YLSR_SEARCH_USEREXITS_BADIS		21	"The current ABAP command is obsolete. The addition OCCURS is no longer supported in the OO context. Use ""TABLE OF .... INITIAL SIZE"" instead..Internal Message Code: MESSAGE G1E"	3	3	OBSOLETE ABAP	PROG
R3TR	PROG	Program	PROG	Program	YLSR_SEARCH_USEREXITS_BADIS	Search userexits and Badis for a transaction			ZTEST	SAP ECC 6.0	YLSR_SEARCH_USEREXITS_BADIS		21	The current ABAP command is obsolete.Tables with headers are no longer supported in the OO context..Internal Message Code: MESSAGE G1D	3	3	OBSOLETE ABAP	PROG
R3TR	PROG	Program	PROG	Program	YLSR_SEARCH_USEREXITS_BADIS	Search userexits and Badis for a transaction			ZTEST	SAP ECC 6.0	YLSR_SEARCH_USEREXITS_BADIS		25	Selection text or parameter for selection field P_TCODE is not maintained	3	3	SELECTION TEXT NOT MAINTAINED	PROG
R3TR	PROG	Program	PROG	Program	YLSR_SEARCH_USEREXITS_BADIS	Search userexits and Badis for a transaction			ZTEST	SAP ECC 6.0	YLSR_SEARCH_USEREXITS_BADIS		26	Selection text or parameter for selection field P_PGMNA is not maintained	3	3	SELECTION TEXT NOT MAINTAINED	PROG
R3TR	PROG	Program	PROG	Program	YLSR_SEARCH_USEREXITS_BADIS	Search userexits and Badis for a transaction			ZTEST	SAP ECC 6.0	YLSR_SEARCH_USEREXITS_BADIS		36	"The current ABAP command is obsolete. SELECT without an INTO clause is not supported in the OO context. Use ""SELECT .... INTO wa""..Internal Message Code: SELECT 202"	3	3	OBSOLETE ABAP	PROG
R3TR	PROG	Program	PROG	Program	YLSR_SEARCH_USEREXITS_BADIS	Search userexits and Badis for a transaction			ZTEST	SAP ECC 6.0	YLSR_SEARCH_USEREXITS_BADIS		43	"The current ABAP command is obsolete. SELECT without an INTO clause is not supported in the OO context. Use ""SELECT .... INTO wa""..Internal Message Code: SELECT 202"	3	3	OBSOLETE ABAP	PROG
R3TR	PROG	Program	PROG	Program	YLSR_SEARCH_USEREXITS_BADIS	Search userexits and Badis for a transaction			ZTEST	SAP ECC 6.0	YLSR_SEARCH_USEREXITS_BADIS		51	No Handling of SY-SUBRC After Reading Database Statement	1	3	SY-SUBRC NOT HANDLED	PROG
