MODULE	UNQ_PROC_ID	PROC_DESC	PROC_AVAIL	SIMPLD_1511	SIMPLD_ITEMID	SIMPLD_ITEM_DESC	MIGRATION
Module	Unique Process ID	Process	Available in Client System (Y/N)	Simplified in S/4H	Simplification Item ID	Simplification Item Description	Migration Compatibility
Sales and Distribution	SD-01	Create and Maintain Customer	Yes	Yes	2.1.2.1	SD Simplified Data Models	2
Sales and Distribution	SD-02	Define and Maintain Customer Groups and Customer Hierarchy	Yes	Yes	2.1.2.2	Data Model Changes in SD Pricing	1
Sales and Distribution	SD-03	Manage Customer Credit Exposure	Yes	Yes	2.1.2.3	Foreign Trade within SAP S/4HANA	2
Sales and Distribution	SD-04	Maintain Price	Yes	Yes	2.1.2.4	Credit Management	1
Sales and Distribution	SD-05	Generate Sales Agreements and Contracts	Yes	Yes	2.1.2.5	ERP SD Revenue Recognition	1
Sales and Distribution	SD-06	Advanced Returns Management	Yes	Yes	2.1.2.6	Optimization of SD Rebate Processing for TPM Customers	1
Sales and Distribution	SD-07	Capture / Process Orders	Yes	Yes	2.1.2.7	Simplification in SD Analytics	1
Sales and Distribution	SD-08	Manage Backorders	Yes	Yes	2.1.2.8	Business Role Internal Sales Representative	1
Sales and Distribution	SD-09	Manage Product Returns	Yes	Yes	2.1.2.9	Sales Activities	1
Sales and Distribution	SD-10	Manage Returnable Containers	Yes	Yes	2.1.2.10	SD Rebate Processing replaced by Settlement Management	1
Sales and Distribution	SD-11	Direct store delivery	Yes	Yes	2.1.2.11	Webshops by Internet Sales or Web Channel Experience Management	1
Sales and Distribution	SD-12	Ship/Deliver Orders	Yes	Yes	2.1.2.12	Commodity Management Sales	1
Sales and Distribution	SD-13	Manage Customer Invoices	Yes	Yes	2.1.2.13	Sales Activities	1
Sales and Distribution	SD-14	Manage Customer Transactional Complaints	Yes	Yes	2.1.2.14	Billing Document Output Management	1
Sales and Distribution	SD-15	Develop Intercompany Price	Yes	Yes	2.1.2.15	SD Rebate Processing replaced by Settlement Management	1
Sales and Distribution	SD-16	Perform Customer Rebate Management	Yes	Yes	2.1.2.16	Miscellaneous minor functionalities in SD Area	2
Sales and Distribution	SD-17	Sales Order Processing with Customer Down Payment	Yes	Yes	2.1.2.17	SD Complaint Handling	1
Sales and Distribution	SD-18	Sales Order Processing with WM	Yes	Yes	2.1.2.18	SD – FI/CA Integration with distributed systems	1
Sales and Distribution	SD-19	Sales Processing Using Third Party (w. Shipping Notification)	Yes	Yes	2.1.2.19		1
Sales and Distribution	SD-20	Sales Processing Using Third Party (w/o. Shipping Notification)	Yes	Yes	2.1.2.20		1
Sales and Distribution	SD-21	Third party order procesing with Subcontracting	Yes	Yes	2.1.2.21		1
Sales and Distribution	SD-22	Cross Company Sales Order Processing	Yes	Yes	2.1.2.22		1
Sales and Distribution	SD-23	Consignment Sales	Yes	Yes	2.1.2.23		1
Sales and Distribution	SD-24	Foreign Trade	Yes	Yes	2.1.2.24		3
Sales and Distribution	SD-25	Revenue Recognition	Yes	Yes	2.1.2.25		2
Sales and Distribution	SD-26	Business Role Internal Sales Representative	Yes	Yes	2.1.2.26		3
Sales and Distribution	SD-27	SD Analytics	Yes	Yes	2.1.2.27		2
Sales and Distribution	SD-28	Sales Activities	Yes	Yes	2.1.2.28		3
Sales and Distribution	SD-29	Transportation (LE-TRA)	Yes	Yes	2.1.2.29		2
Sales and Distribution	SD-30	Warehouse Management (WM)	Yes	Yes	2.1.2.30		2
Sales and Distribution	SD-31	Output Management	Yes	Yes	2.1.2.31		2
Sales and Distribution	SD-32	Batch Management	Yes	Yes	2.1.2.32		2
Material Management	FUGT_MM_1	Direct Procurement - Non ERS Vendors	Yes	Yes	2.1.4	Procurement	2
Material Management	FUGT_MM_2	Direct Procurement - ERS Vendors	Yes	Yes	2.1.4	Procurement	2
Material Management	FUGT_MM_3	Indirect procurement - Foreign Trade	Yes	Yes	2.1.4.15	Foreign Trade within SAP S/4HANA Procurement	2
Material Management	FUGT_MM_4	Indirect procurement - Services	Yes	Yes			1
