PGMID	MAINOBJ	MAINOBJ_DESC	MAINPROG	OBJECT	OBJDESC	OBJNAME	OBJTEXT	LINENO	INCL	FRICETYPE	PACKAGE	SYSNAME	R_MAINOBJ	NOTE	TITLE	ERRORMSG	ORIGIN	ORIGIN_DESC	REF_OBJ_TYPE	REF_OBJ_NAME	REF_SUB_TYPE	REF_SUB_NAME	REF_INT_TYPE	REF_INT_NAME	SIMPLI_ID	CATEGORY	CATEG_DESC	COMPLEXITY	COMPLEX_DESC	AREA	AREA_DESC	INT_TYPE	INT_NAME
R3TR	CLAS	Class (ABAP Objects)	ZCL_UPD_S4_CHECKS_BP					1	ZCL_UPD_S4_CHECKS_BP==========CP		ZUPD_PRECHECK	SAP ECC 6.0	ZCL_UPD_S4_CHECKS_BP	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TTYP	CMDS_KNA1_T					FA163EDF73161ED5A7B15E0F5DEB18E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	CLAS	Class (ABAP Objects)	ZCL_IM_RBT_ENH_BADI_SETTLE					1	ZCL_IM_RBT_ENH_BADI_SETTLE====CP		ZSD	SAP ECC 6.0	ZCL_IM_RBT_ENH_BADI_SETTLE	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	KOMFKGN					FA163EDF73161ED5A7B15E0F5DEAD8E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	CLAS	Class (ABAP Objects)	ZCL_IM_RBT_ENH_BADI_SETTLE					1	ZCL_IM_RBT_ENH_BADI_SETTLE====CP		ZSD	SAP ECC 6.0	ZCL_IM_RBT_ENH_BADI_SETTLE	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	ENH_REBATE_BONUSKOM					FA163EDF73161ED5A7B15E0F5DEAD8E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	CMOD	Customer enhancement projects	ZGPH					0			ZGPH	SAP ECC 6.0	ZGPH	2228241	LONG MATERIAL NUMBER	Usage of functionality not supported any more	R	Reference	FUGR	MV02					FA163EDF73161ED5A7B15DE9A538D8E0	2	Medium	2	Medium	IS-A-LMN			
R3TR	CMOD	Customer enhancement projects	ZGPH					0			ZGPH	SAP ECC 6.0	ZGPH	2228241	LONG MATERIAL NUMBER	Usage of functionality not supported any more	R	Reference	FUGR	MV01					FA163EDF73161ED5A7B15DE9A538D8E0	2	Medium	2	Medium	IS-A-LMN			
R3TR	CMOD	Customer enhancement projects	ZKSB1					0			ZCO	SAP ECC 6.0	ZKSB1	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	RKPOA					FA163EDF73161ED5A7B15E0F5DEAD8E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	CMOD	Customer enhancement projects	ZKSB1					0			ZCO	SAP ECC 6.0	ZKSB1	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	RKPOS					FA163EDF73161ED5A7B15E0F5DEAD8E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	CMOD	Customer enhancement projects	Z_MKS01					0			ZSD	SAP ECC 6.0	Z_MKS01	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	KAEP_DEV					FA163EDF73161ED5A7B15E0F5DEAD8E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	CMOD	Customer enhancement projects	ZEDICSKB					0			ZCOL	SAP ECC 6.0	ZEDICSKB	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	KAEP_DEV					FA163EDF73161ED5A7B15E0F5DEAD8E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	CMOD	Customer enhancement projects	ZEDICSKB					0			ZCOL	SAP ECC 6.0	ZEDICSKB	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	KAEP_COPL					FA163EDF73161ED5A7B15E0F5DEAD8E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	CMOD	Customer enhancement projects	Z_MKS01					0			ZSD	SAP ECC 6.0	Z_MKS01	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	KAEP_COPL					FA163EDF73161ED5A7B15E0F5DEAD8E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	CMOD	Customer enhancement projects	ZKSB1					0			ZCO	SAP ECC 6.0	ZKSB1	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	KAEP_COPL					FA163EDF73161ED5A7B15E0F5DEAD8E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	CMOD	Customer enhancement projects	ZKSB1					0			ZCO	SAP ECC 6.0	ZKSB1	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	KAEP_COEP_X					FA163EDF73161ED5A7B15E0F5DEAD8E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	CMOD	Customer enhancement projects	ZEDICSKB					0			ZCOL	SAP ECC 6.0	ZEDICSKB	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	KAEP_COEP_X					FA163EDF73161ED5A7B15E0F5DEAD8E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	CMOD	Customer enhancement projects	Z_MKS01					0			ZSD	SAP ECC 6.0	Z_MKS01	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	KAEP_COEP_X					FA163EDF73161ED5A7B15E0F5DEAD8E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	CMOD	Customer enhancement projects	ZEDICSKB					0			ZCOL	SAP ECC 6.0	ZEDICSKB	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	KAEP_COEJA_X					FA163EDF73161ED5A7B15E0F5DEAD8E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	CMOD	Customer enhancement projects	Z_MKS01					0			ZSD	SAP ECC 6.0	Z_MKS01	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	KAEP_COEJA_X					FA163EDF73161ED5A7B15E0F5DEAD8E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	CMOD	Customer enhancement projects	ZKSB1					0			ZCO	SAP ECC 6.0	ZKSB1	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	KAEP_COAC					FA163EDF73161ED5A7B15E0F5DEAD8E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	CMOD	Customer enhancement projects	ZEDICSKB					0			ZCOL	SAP ECC 6.0	ZEDICSKB	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	KAEP_COAC					FA163EDF73161ED5A7B15E0F5DEAD8E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	CMOD	Customer enhancement projects	Z_MKS01					0			ZSD	SAP ECC 6.0	Z_MKS01	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	KAEP_COAC					FA163EDF73161ED5A7B15E0F5DEAD8E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	CMOD	Customer enhancement projects	Z_MKS01					0			ZSD	SAP ECC 6.0	Z_MKS01	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	KAEP_CM					FA163EDF73161ED5A7B15E0F5DEAD8E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	CMOD	Customer enhancement projects	ZKSB1					0			ZCO	SAP ECC 6.0	ZKSB1	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	KAEP_CM					FA163EDF73161ED5A7B15E0F5DEAD8E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	CMOD	Customer enhancement projects	ZEDICSKB					0			ZCOL	SAP ECC 6.0	ZEDICSKB	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	KAEP_CM					FA163EDF73161ED5A7B15E0F5DEAD8E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	CMOD	Customer enhancement projects	ZEDICSKB					0			ZCOL	SAP ECC 6.0	ZEDICSKB	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	FCOMS_GROUP_COSTCENTER_ATTR					FA163EDF73161ED5A7B15E0F5DEAD8E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	CMOD	Customer enhancement projects	Z_MKS01					0			ZSD	SAP ECC 6.0	Z_MKS01	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	FCOMS_GROUP_COSTCENTER_ATTR					FA163EDF73161ED5A7B15E0F5DEAD8E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	CMOD	Customer enhancement projects	ZFORTRAD					0			ZSD	SAP ECC 6.0	ZFORTRAD	2223144	DEPRECATION OF SD FOREIGN TRADE	Usage of functionality not supported any more	R	Reference	FUGR	V50E					FA163EDF73161ED5A7B15CE11C1498DD	3	High	3	High	SD-FT	Foreign Trade		
R3TR	CMOD	Customer enhancement projects	ZFORTRAD					0			ZSD	SAP ECC 6.0	ZFORTRAD	2223144	DEPRECATION OF MM FOREIGN TRADE	Usage of functionality not supported any more	R	Reference	FUGR	V50E					FA163EDF73161ED5A7B15DE9A53818E0	3	High	3	High	MM-FT	Foreign trade		
R3TR	CMOD	Customer enhancement projects	ZFORTRAD					0			ZSD	SAP ECC 6.0	ZFORTRAD	2223144	DEPRECATION OF SD FOREIGN TRADE	Usage of functionality not supported any more	R	Reference	SMOD	V50EPROP					FA163EDF73161ED5A7B15CE11C1498DD	3	High	3	High	SD-FT	Foreign Trade		
